Field,n_objects
SPLUS-n11s30,2
SPLUS-n11s31,159
SPLUS-n11s32,432
SPLUS-n11s33,671
SPLUS-n11s34,383
SPLUS-n11s35,72
SPLUS-n12s29,217
SPLUS-n12s30,533
SPLUS-n12s31,1098
SPLUS-n12s32,691
SPLUS-n12s33,470
SPLUS-n12s34,341
SPLUS-n12s35,28
SPLUS-n13s29,393
SPLUS-n13s30,636
SPLUS-n13s31,606
SPLUS-n13s32,722
SPLUS-n13s33,607
SPLUS-n13s34,493
SPLUS-n13s35,295
SPLUS-n14s29,425
SPLUS-n14s30,493
SPLUS-n14s31,483
SPLUS-n14s32,1185
SPLUS-n14s33,520
SPLUS-n14s34,367
SPLUS-n14s35,401
SPLUS-n15s29,329
SPLUS-n15s30,476
SPLUS-n15s31,679
SPLUS-n15s32,713
SPLUS-n15s33,612
SPLUS-n15s34,600
SPLUS-n15s35,290
SPLUS-n16s28,104
SPLUS-n16s29,521
SPLUS-n16s30,666
SPLUS-n16s31,653
SPLUS-n16s32,807
SPLUS-n16s33,688
SPLUS-n16s34,34
SPLUS-n17s29,115
SPLUS-n17s30,378
SPLUS-n17s31,575
SPLUS-n17s32,384
SPLUS-n17s33,47
