field,n_objects
SPLUS-s31s28_predicted,38568
SPLUS-s31s29_predicted,48580
SPLUS-s31s30_predicted,37564
SPLUS-s31s31_predicted,44663
SPLUS-s31s32_predicted,50984
SPLUS-s31s33_predicted,46572
SPLUS-s31s34_predicted,47571
SPLUS-s31s35_predicted,48428
SPLUS-s31s36_predicted,52919
SPLUS-s31s37_predicted,45441
SPLUS-s31s38_predicted,47846
SPLUS-s31s39_predicted,48032
SPLUS-s31s40_predicted,44111
SPLUS-s31s41_predicted,47935
SPLUS-s31s42_predicted,45063
SPLUS-s32s22_predicted,34315
SPLUS-s32s23_predicted,34410
SPLUS-s32s24_predicted,35083
SPLUS-s32s25_predicted,39026
SPLUS-s32s26_predicted,39966
SPLUS-s32s27_predicted,39153
SPLUS-s32s28_predicted,47423
SPLUS-s32s29_predicted,43532
SPLUS-s32s30_predicted,48295
SPLUS-s32s31_predicted,45622
SPLUS-s32s32_predicted,53540
SPLUS-s32s33_predicted,49222
SPLUS-s32s34_predicted,47444
SPLUS-s32s35_predicted,44862
SPLUS-s32s36_predicted,46023
SPLUS-s32s37_predicted,36049
SPLUS-s32s38_predicted,40799
SPLUS-s32s39_predicted,47449
SPLUS-s32s40_predicted,48227
SPLUS-s32s41_predicted,50012
SPLUS-s32s42_predicted,54064
SPLUS-s33s22_predicted,34646
SPLUS-s33s23_predicted,42850
SPLUS-s33s24_predicted,35453
SPLUS-s33s25_predicted,41904
SPLUS-s33s26_predicted,41394
SPLUS-s33s27_predicted,42870
SPLUS-s33s28_predicted,46152
SPLUS-s33s29_predicted,48628
SPLUS-s33s30_predicted,44523
SPLUS-s33s31_predicted,49959
SPLUS-s33s32_predicted,47536
SPLUS-s33s33_predicted,45279
SPLUS-s33s34_predicted,42469
SPLUS-s33s35_predicted,39681
SPLUS-s33s36_predicted,50374
SPLUS-s33s37_predicted,38992
SPLUS-s33s38_predicted,42182
SPLUS-s33s39_predicted,39571
SPLUS-s33s40_predicted,55334
SPLUS-s33s41_predicted,54831
SPLUS-s33s42_predicted,15210
SPLUS-s34s21_predicted,39021
SPLUS-s34s22_predicted,43944
SPLUS-s34s23_predicted,37300
SPLUS-s34s24_predicted,37650
SPLUS-s34s25_predicted,38061
SPLUS-s34s26_predicted,45016
SPLUS-s34s27_predicted,37722
SPLUS-s34s28_predicted,44941
SPLUS-s34s29_predicted,44331
SPLUS-s34s30_predicted,51847
SPLUS-s34s31_predicted,51349
SPLUS-s34s32_predicted,47546
SPLUS-s34s33_predicted,42576
SPLUS-s34s34_predicted,39466
SPLUS-s34s35_predicted,44065
SPLUS-s34s36_predicted,51681
SPLUS-s34s37_predicted,39001
SPLUS-s34s38_predicted,41707
SPLUS-s34s39_predicted,47337
SPLUS-s34s40_predicted,47414
SPLUS-s34s41_predicted,6670
SPLUS-s35s24_predicted,43257
SPLUS-s35s25_predicted,37343
SPLUS-s35s26_predicted,38275
SPLUS-s35s27_predicted,51504
SPLUS-s35s28_predicted,40309
SPLUS-s35s29_predicted,52973
SPLUS-s35s30_predicted,53858
SPLUS-s35s31_predicted,48633
SPLUS-s35s32_predicted,43786
SPLUS-s35s33_predicted,38130
SPLUS-s35s34_predicted,41473
SPLUS-s35s35_predicted,51747
