field,n_objects
SPLUS-s18s50_predicted,39335
SPLUS-s18s51_predicted,39646
SPLUS-s19s49_predicted,39715
SPLUS-s19s50_predicted,44643
SPLUS-s19s51_predicted,31507
SPLUS-s20s01_predicted,34599
SPLUS-s20s02_predicted,38415
SPLUS-s20s03_predicted,32867
SPLUS-s20s04_predicted,44975
SPLUS-s20s05_predicted,8342
SPLUS-s20s47_predicted,46538
SPLUS-s20s48_predicted,62665
SPLUS-s20s49_predicted,50121
SPLUS-s20s50_predicted,38833
SPLUS-s20s51_predicted,40153
SPLUS-s21s01_predicted,42275
SPLUS-s21s02_predicted,40360
SPLUS-s21s03_predicted,38371
SPLUS-s21s04_predicted,41505
SPLUS-s21s05_predicted,18471
SPLUS-s21s43_predicted,11133
SPLUS-s21s44_predicted,41982
SPLUS-s21s45_predicted,42805
SPLUS-s21s46_predicted,43057
SPLUS-s21s47_predicted,45209
SPLUS-s21s48_predicted,48660
SPLUS-s21s49_predicted,45659
SPLUS-s22s01_predicted,48017
SPLUS-s22s02_predicted,44182
SPLUS-s22s03_predicted,41679
SPLUS-s22s04_predicted,45416
SPLUS-s22s05_predicted,27096
SPLUS-s22s43_predicted,14821
SPLUS-s22s44_predicted,36081
SPLUS-s22s45_predicted,45170
SPLUS-s22s46_predicted,43800
SPLUS-s22s47_predicted,40487
SPLUS-s22s49_predicted,44223
SPLUS-s23s01_predicted,43029
SPLUS-s23s02_predicted,56002
SPLUS-s23s03_predicted,48955
SPLUS-s23s04_predicted,43095
SPLUS-s23s05_predicted,18140
SPLUS-s23s43_predicted,8456
SPLUS-s23s44_predicted,44894
SPLUS-s23s45_predicted,45802
SPLUS-s23s46_predicted,38351
SPLUS-s23s47_predicted,42431
SPLUS-s23s48_predicted,44504
SPLUS-s23s49_predicted,41123
SPLUS-s24s01_predicted,45940
SPLUS-s24s02_predicted,50822
SPLUS-s24s03_predicted,50234
SPLUS-s24s04_predicted,38084
SPLUS-s24s05_predicted,7107
SPLUS-s24s70_predicted,84
SPLUS-s24s71_predicted,35934
SPLUS-s24s72_predicted,46470
SPLUS-s24s73_predicted,44867
SPLUS-s24s74_predicted,40466
SPLUS-s24s75_predicted,41857
SPLUS-s24s76_predicted,41066
SPLUS-s25s01_predicted,39960
SPLUS-s25s02_predicted,45298
SPLUS-s25s03_predicted,45512
SPLUS-s25s04_predicted,39975
SPLUS-s25s05_predicted,126
SPLUS-s25s71_predicted,13864
SPLUS-s25s72_predicted,40957
SPLUS-s25s73_predicted,36249
SPLUS-s25s74_predicted,48234
SPLUS-s25s75_predicted,51717
SPLUS-s25s76_predicted,45706
SPLUS-s26s01_predicted,52212
SPLUS-s26s02_predicted,46280
SPLUS-s26s03_predicted,31975
SPLUS-s26s04_predicted,5241
SPLUS-s26s70_predicted,19557
SPLUS-s26s71_predicted,44733
SPLUS-s26s72_predicted,44014
SPLUS-s26s73_predicted,50264
SPLUS-s26s74_predicted,50352
SPLUS-s27s01_predicted,36958
SPLUS-s27s02_predicted,25187
SPLUS-s27s03_predicted,5283
SPLUS-s27s72_predicted,44516
SPLUS-s27s73_predicted,43096
SPLUS-s28s01_predicted,2300
SPLUS-s28s72_predicted,5398
SPLUS-s28s73_predicted,7552
