field,n_objects
SPLUS-n10s29,5436
SPLUS-n10s30,20546
SPLUS-n10s31,22767
SPLUS-n10s32,22916
SPLUS-n10s33,22789
SPLUS-n10s34,6824
SPLUS-n11s29,9998
SPLUS-n11s30,23394
SPLUS-n11s31,19912
SPLUS-n11s32,23503
SPLUS-n11s33,22991
SPLUS-n11s34,23188
SPLUS-n11s35,9483
SPLUS-n12s28,18458
SPLUS-n12s29,24328
SPLUS-n12s30,21832
SPLUS-n12s31,25898
SPLUS-n12s32,25268
SPLUS-n12s33,24331
SPLUS-n12s34,15779
SPLUS-n13s28,7191
SPLUS-n13s29,25417
SPLUS-n13s30,25661
SPLUS-n13s31,23980
SPLUS-n13s32,24794
SPLUS-n13s33,23785
SPLUS-n13s34,22819
SPLUS-n13s35,2146
SPLUS-n14s28,1925
SPLUS-n14s29,22404
SPLUS-n14s30,23528
SPLUS-n14s31,24469
SPLUS-n14s32,25959
SPLUS-n14s33,23366
SPLUS-n14s34,14239
SPLUS-n15s29,8110
SPLUS-n15s30,20692
SPLUS-n15s31,24546
SPLUS-n15s32,24315
SPLUS-n15s33,15175
SPLUS-n15s34,790
SPLUS-n16s29,836
SPLUS-n16s30,4755
SPLUS-n16s31,2239
