ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
39.575825,2.110168,0.021171,3.8e-05,6346.906,11.392113,0.028199,0.045477,-219.728,0
39.581573,2.119314,0.02163,4.6e-05,6484.511,13.790453,0.038334,0.061821,-85.075,0
39.605267,2.126994,0.021629,1.5e-05,6484.211,4.496887,0.055906,0.090159,-85.368,0
39.54501,2.154265,0.022914,7e-06,6869.444,2.098547,0.076774,0.123812,291.602,0
39.654484,2.08633,0.021472,2.7e-05,6437.144,8.094396,0.082832,0.133581,-131.426,0
39.65823,2.053066,0.019242,5e-06,5768.606,1.498962,0.091275,0.147197,-785.623,0
39.48039,2.079783,0.021995,7.7e-05,6593.935,23.084019,0.091281,0.147207,22.002,0
39.64747,2.140805,0.021166,1.4e-05,6345.407,4.197094,0.095708,0.154347,-221.195,0
39.513195,2.164147,0.021152,6.2e-05,6341.21,18.587132,0.100606,0.162245,-225.302,0
39.485657,2.021703,0.025053,5.3e-05,7510.7,15.889,0.105175,0.169613,919.103,0
39.644775,1.997735,0.022889,6.8e-05,6861.95,20.385887,0.111713,0.180158,284.268,0
39.647125,1.996161,0.022891,5.6e-05,6862.549,16.788378,0.114442,0.184559,284.854,0
39.65269,2.168919,0.022824,0.000106,6842.463,31.778001,0.11857,0.191216,265.199,0
39.60588,1.968696,0.020402,2e-06,6116.366,0.599585,0.118602,0.191267,-445.323,0
39.5066,2.199769,0.021327,1.1e-05,6393.674,3.297717,0.134304,0.21659,-173.964,0
39.64979,1.966967,0.022535,2.7e-05,6755.823,8.094396,0.139233,0.224538,180.418,0
39.70773,2.045443,0.021979,9e-06,6589.138,2.698132,0.140844,0.227136,17.308,0
39.56709,1.930983,0.020147,7e-06,6039.919,2.098547,0.151359,0.244094,-520.131,0
39.53522,2.236715,0.024382,7.2e-05,7309.54,21.585057,0.158687,0.255911,722.257,0
39.67627,2.208889,0.023538,4.1e-05,7056.515,12.291491,0.164174,0.26476,474.66,0
39.417515,2.013478,0.022175,6e-06,6647.898,1.798755,0.16874,0.272125,74.807,0
39.70856,2.185332,0.022209,9.1e-05,6658.091,27.281114,0.171255,0.276179,84.782,0
39.73687,2.145398,0.02038,2.9e-05,6109.77,8.693981,0.176723,0.284998,-451.777,0
39.619133,1.909237,0.020077,2e-06,6018.933,0.599585,0.179411,0.289333,-540.666,0
39.614227,1.90771,0.024429,2e-06,7323.63,0.599585,0.179662,0.289737,736.045,0
39.392174,2.063853,0.020963,7e-06,6284.549,2.098547,0.180347,0.290843,-280.747,0
39.42995,1.970313,0.021783,2.1e-05,6530.379,6.295642,0.180556,0.29118,-40.191,0
39.426872,1.973268,0.021465,9.1e-05,6435.045,27.281114,0.181186,0.292196,-133.48,0
39.424126,1.975301,0.0216,1e-05,6475.517,2.997925,0.182185,0.293806,-93.876,0
39.40644,2.004124,0.022896,1.3e-05,6864.048,3.897302,0.182704,0.294644,286.321,0
39.614323,1.902947,0.024914,2.1e-05,7469.029,6.295642,0.184315,0.297242,878.326,0
39.70001,2.217405,0.019498,8e-06,5845.353,2.39834,0.186289,0.300424,-710.523,0
39.699326,2.220284,0.019179,4e-05,5749.72,11.991698,0.187923,0.30306,-804.105,0
39.492104,1.910672,0.020293,5e-06,6083.688,1.498962,0.189138,0.30502,-477.3,0
39.655663,2.271172,0.021253,7e-06,6371.489,2.098547,0.206698,0.333339,-195.672,0
39.656475,2.274197,0.021513,6e-06,6449.435,1.798755,0.209793,0.338329,-119.398,0
39.55076,2.304741,0.021985,8.3e-05,6590.937,24.882774,0.223451,0.360355,19.069,0
39.556797,1.858531,0.018742,1e-06,5618.71,0.299792,0.224236,0.361621,-932.304,0
39.357334,2.153774,0.019186,1.4e-05,5751.818,4.197094,0.225839,0.364207,-802.052,0
39.579323,2.309887,0.01944,8e-06,5827.965,2.39834,0.227743,0.367276,-727.538,0
