ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
0.807835,-35.921471,0.05165,0.00034,15484.28,99.99,0.008313,0.029293,612.15,0,0.002142999999999999
0.79818,-35.944102,0.04886,0.0001,14647.859,29.979246,0.016979,0.059831,-184.816,0,-0.0006470000000000017
0.838806,-35.939515,0.047353,0.00015,14196.072,44.968869,0.033427,0.11779,-615.292,0,-0.002154000000000003
0.822295,-35.894392,0.05242,0.00056,15715.121,99.99,0.037302,0.131446,832.101,0,0.002912999999999999
0.8586,-35.889634,0.05027,0.000333,15070.567,99.830889,0.060268,0.212374,217.952,0,0.0007629999999999998
0.731767,-35.952663,0.04757,0.0004,14261.127,99.99,0.061138,0.21544,-553.305,0,-0.0019370000000000012
0.720926,-35.921793,0.04915,0.00037,14734.799,99.99,0.0646,0.227637,-101.977,0,-0.00035700000000000315
0.727295,-35.972266,0.05165,0.00014,15484.28,41.970944,0.0744,0.262174,612.15,0,0.002142999999999999
0.789124,-35.849002,0.04716,0.00022,14138.212,65.954341,0.078751,0.277504,-670.422,0,-0.002347000000000002
0.709931,-35.876589,0.04763,0.00018,14279.115,53.962642,0.089066,0.313851,-536.166,0,-0.0018770000000000037
0.912794,-35.913761,0.050859,0.00015,15247.145,44.968869,0.091986,0.324143,386.2,0,0.001351999999999999
0.683465,-35.929118,0.04895,0.000333,14674.841,99.830889,0.094725,0.333793,-159.107,0,-0.0005570000000000019
0.892116,-35.859667,0.05349,0.00015,16035.899,44.968869,0.100383,0.353732,1137.747,0,0.003983
0.855929,-36.020377,0.04999,0.00011,14986.625,32.97717,0.103434,0.364483,137.969,0,0.0004829999999999973
0.930393,-35.943746,0.04997,0.00081,14980.629,99.99,0.106537,0.375416,132.256,0,0.00046299999999999814
0.919595,-35.84144,0.05069,0.00079,15196.48,99.99,0.129117,0.454984,337.925,0,0.0011829999999999966
0.734778,-35.798537,0.05321,0.00091,15951.957,99.99,0.139229,0.490617,1057.765,0,0.003702999999999998
0.826264,-36.076272,0.05146,0.00019,15427.32,56.960567,0.150514,0.530384,557.876,0,0.0019529999999999964
0.595395,-35.892382,0.04997,0.00087,14980.629,99.99,0.169637,0.597771,132.256,0,0.00046299999999999814
0.65856,-35.778706,0.04925,0.00039,14764.779,99.99,0.187756,0.661617,-73.412,0,-0.0002570000000000003
0.592333,-35.82684,0.04734,0.00019,14192.175,56.960567,0.196135,0.691142,-619.005,0,-0.0021670000000000023
0.888864,-36.114574,0.04745,0.00023,14225.152,68.952265,0.200576,0.706793,-587.584,0,-0.0020570000000000033
0.548566,-35.887116,0.05102,0.00022,15295.411,65.954341,0.207848,0.732417,432.19,0,0.0015130000000000005
0.72779,-35.722049,0.048804,0.00015,14631.071,44.968869,0.213434,0.752102,-200.812,0,-0.0007030000000000022
0.796051,-36.150236,0.04952,0.00014,14845.723,41.970944,0.223044,0.785966,3.713,0,1.2999999999999123e-05
0.579795,-35.752291,0.050902,0.00015,15260.036,44.968869,0.250035,0.881076,398.483,0,0.0013950000000000004
0.544075,-35.785359,0.05003,0.00077,14998.617,99.99,0.251423,0.885968,149.395,0,0.0005229999999999957
0.485248,-35.981227,0.04774,0.00084,14312.092,99.99,0.260866,0.919245,-504.745,0,-0.0017670000000000047
0.474062,-35.935069,0.04989,0.00017,14956.646,50.964718,0.264389,0.931659,109.404,0,0.00038299999999999446
0.713145,-35.669008,0.04893,0.00076,14668.845,99.99,0.267709,0.943356,-164.82,0,-0.0005770000000000011
1.146259,-35.959327,0.04835,0.00012,14494.965,35.975095,0.281882,0.993301,-330.498,0,-0.0011570000000000052
1.090996,-36.105586,0.05184,0.00018,15541.241,53.962642,0.295262,1.040448,666.423,0,0.002332999999999995
