ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
324.10116,-0.365426,0.050911,5e-06,15262.734,1.498962,0.83192,3.014295,-25.387,0,-8.89999999999988e-05
323.703654,1.088039,0.05012,2.7e-05,15025.598,8.094396,0.860262,3.116988,-251.016,0,-0.0008799999999999988
323.380543,0.557889,0.050378,1.4e-05,15102.944,4.197094,0.904114,3.275875,-177.422,0,-0.0006219999999999976
323.650404,1.12147,0.049933,1.9e-05,14969.537,5.696057,0.920863,3.336561,-304.356,0,-0.0010669999999999985
325.137649,0.068131,0.050791,1.5e-05,15226.759,4.496887,0.939686,3.404763,-59.616,0,-0.0002089999999999939
324.806181,1.231591,0.04978,1.8e-05,14923.669,5.396264,0.945432,3.425582,-347.999,0,-0.0012199999999999989
323.38388,0.763753,0.051025,1.4e-05,15296.91,4.197094,0.948301,3.435978,7.131,0,2.5000000000004186e-05
324.804167,1.236917,0.05,0.000333,14989.623,99.830889,0.948735,3.437551,-285.245,0,-0.000999999999999994
324.811261,1.232423,0.050101,6e-06,15019.902,1.798755,0.948968,3.438393,-256.435,0,-0.000898999999999997
324.40054,-0.495371,0.050956,2.9e-05,15276.224,8.693981,0.95081,3.445071,-12.551,0,-4.399999999999543e-05
323.747154,-0.350294,0.050911,1.4e-05,15262.734,4.197094,0.958212,3.471889,-25.387,0,-8.89999999999988e-05
323.44042,0.916744,0.050944,1.2e-05,15272.627,3.597509,0.959976,3.478279,-15.974,0,-5.5999999999993555e-05
324.233597,-0.535292,0.051372,7e-06,15400.938,2.098547,0.983791,3.564569,106.111,0,0.00037200000000000427
323.471523,1.019693,0.051826,1.9e-05,15537.044,5.696057,0.988757,3.582564,235.612,0,0.0008260000000000003
323.485176,-0.148186,0.050664,6e-06,15188.685,1.798755,0.991588,3.59282,-95.842,0,-0.000335999999999996
324.268244,-0.583304,0.050851,8e-06,15244.746,2.39834,1.030849,3.735076,-42.501,0,-0.00014899999999999636
324.796473,-0.463241,0.050634,1e-05,15179.691,2.997925,1.048012,3.797262,-104.4,0,-0.00036599999999999827
324.376849,-0.601412,0.050479,3.4e-05,15133.223,10.192944,1.053567,3.817387,-148.613,0,-0.0005209999999999937
325.009712,1.207713,0.050881,1.5e-05,15253.74,4.496887,1.055183,3.823243,-33.944,0,-0.00011899999999999411
325.012261,1.217331,0.050732,0.000233,15209.071,69.851643,1.063891,3.854795,-76.446,0,-0.0002679999999999974
324.938256,-0.416512,0.04991,8e-05,14962.642,23.983397,1.087444,3.940134,-310.917,0,-0.0010899999999999938
325.181171,1.057607,0.05211,1.1e-05,15622.185,3.297717,1.089974,3.949302,316.622,0,0.0011099999999999999
323.29625,0.939639,0.050003,6e-06,14990.522,1.798755,1.098097,3.978736,-284.389,0,-0.0009969999999999979
324.731086,-0.553747,0.051979,7e-06,15582.912,2.098547,1.099019,3.982074,279.255,0,0.0009790000000000007
324.859172,-0.48746,0.05012,1.1e-05,15025.598,3.297717,1.100901,3.988894,-251.016,0,-0.0008799999999999988
323.295438,0.944291,0.049953,6e-06,14975.533,1.798755,1.100915,3.988944,-298.651,0,-0.0010469999999999993
323.329528,-0.140854,0.050955,5e-06,15275.925,1.498962,1.116043,4.043759,-12.836,0,-4.499999999999643e-05
323.32953,-0.141179,0.050955,5e-06,15275.925,1.498962,1.116213,4.044374,-12.836,0,-4.499999999999643e-05
323.169861,0.154009,0.049949,6e-06,14974.333,1.798755,1.146236,4.153156,-299.792,0,-0.0010509999999999964
325.176983,1.201833,0.051217,7e-06,15354.47,2.098547,1.173577,4.252221,61.898,0,0.00021700000000000191
324.610277,-0.694605,0.05054,1.4e-05,15151.511,4.197094,1.189478,4.309835,-131.213,0,-0.00045999999999999514
324.017613,-0.760385,0.050442,4.4e-05,15122.131,13.190868,1.235614,4.476999,-159.167,0,-0.000557999999999996
323.173923,-0.12777,0.050027,1.6e-05,14997.717,4.796679,1.244858,4.510492,-277.543,0,-0.0009729999999999947
325.53259,0.156141,0.050402,9e-06,15110.139,2.698132,1.288018,4.666875,-170.576,0,-0.0005979999999999944
323.066958,0.97983,0.050425,6e-06,15117.035,1.798755,1.322768,4.792784,-164.016,0,-0.0005749999999999991
325.620981,0.25169,0.05061,0.00087,15172.496,99.99,1.357219,4.917612,-111.246,0,-0.0003899999999999945
323.179644,-0.391436,0.050756,1.3e-05,15216.266,3.897302,1.382009,5.007434,-69.6,0,-0.00024399999999999422
324.570728,-0.912927,0.051544,1e-05,15452.502,2.997925,1.391579,5.042108,155.173,0,0.0005440000000000028
325.616896,0.011726,0.050884,1e-05,15254.639,2.997925,1.408065,5.10184,-33.088,0,-0.00011599999999999805
322.921304,0.036072,0.050233,1.6e-05,15059.475,4.796679,1.417592,5.136361,-218.783,0,-0.0007669999999999969
325.73691,0.547115,0.05083,0.00012,15238.451,35.975095,1.462342,5.298504,-48.492,0,-0.00016999999999999654
322.838369,0.042866,0.049988,7e-06,14986.025,2.098547,1.495296,5.417904,-288.668,0,-0.001011999999999999
322.849115,-0.078561,0.050544,7e-06,15152.71,2.098547,1.522531,5.516584,-130.072,0,-0.0004559999999999981
322.816121,0.987407,0.050721,2.4e-05,15205.773,7.195019,1.558276,5.646102,-79.583,0,-0.00027899999999999453
325.46516,-0.572717,0.051987,9e-06,15585.311,2.698132,1.565342,5.671702,281.537,0,0.0009870000000000018
325.759306,0.956732,0.050802,7e-06,15230.056,2.098547,1.566425,5.675627,-56.479,0,-0.0001979999999999968
323.105256,-0.63207,0.050996,7e-06,15288.216,2.098547,1.593903,5.775189,-1.141,0,-3.9999999999970615e-06
324.927292,-1.038049,0.051727,1.7e-05,15507.364,5.096472,1.621269,5.874344,207.373,0,0.0007270000000000054
323.07462,-0.642741,0.05111,1.1e-05,15322.393,3.297717,1.62372,5.883225,31.377,0,0.00011000000000000593
322.652921,0.598751,0.050228,5e-06,15057.976,1.498962,1.631974,5.913128,-220.209,0,-0.0007719999999999949
324.729494,-1.126622,0.051594,1.5e-05,15467.492,4.496887,1.63761,5.933551,169.436,0,0.0005940000000000042
322.853178,-0.377277,0.05053,9e-06,15148.513,2.698132,1.646215,5.964729,-134.065,0,-0.0004699999999999982
323.305793,-0.946163,0.051146,9e-06,15333.185,2.698132,1.699197,6.156698,41.646,0,0.0001460000000000003
325.974865,0.545025,0.05111,7e-06,15322.393,2.098547,1.699693,6.158498,31.377,0,0.00011000000000000593
322.562112,0.686138,0.050081,1.5e-05,15013.906,4.496887,1.732272,6.276539,-262.14,0,-0.0009189999999999962
325.997638,0.19053,0.051798,1.2e-05,15528.65,3.597509,1.738759,6.300044,227.625,0,0.0007980000000000001
322.913581,-0.63644,0.050615,2e-05,15173.995,5.995849,1.742479,6.313523,-109.819,0,-0.00038499999999999646
