field,n_objects
SPLUS-n17s05_predicted,51546
SPLUS-n17s06_predicted,63657
SPLUS-n17s07_predicted,70579
SPLUS-n17s08_predicted,62945
SPLUS-n17s09_predicted,59255
SPLUS-n17s10_predicted,59903
SPLUS-n17s11_predicted,52487
SPLUS-n17s12_predicted,55416
SPLUS-n17s13_predicted,56945
SPLUS-n17s14_predicted,51254
SPLUS-n17s15_predicted,45865
SPLUS-n17s16_predicted,1721
SPLUS-n18s01_predicted,62758
SPLUS-n18s02_predicted,54464
SPLUS-n18s03_predicted,43973
SPLUS-n18s04_predicted,67597
SPLUS-n18s05_predicted,55649
SPLUS-n18s06_predicted,62274
SPLUS-n18s07_predicted,53412
SPLUS-n18s08_predicted,54252
SPLUS-n18s09_predicted,54836
SPLUS-n18s10_predicted,47664
SPLUS-n18s11_predicted,50888
SPLUS-n18s12_predicted,45886
SPLUS-n18s13_predicted,52722
SPLUS-n18s14_predicted,58835
SPLUS-n18s15_predicted,52524
SPLUS-n18s16_predicted,24605
SPLUS-n19s01_predicted,53223
SPLUS-n19s02_predicted,50167
SPLUS-n19s03_predicted,56172
SPLUS-n19s04_predicted,59859
SPLUS-n19s05_predicted,56519
SPLUS-n19s06_predicted,63178
SPLUS-n19s07_predicted,3102
SPLUS-n20s01_predicted,53147
SPLUS-n20s02_predicted,58936
SPLUS-n20s03_predicted,55686
SPLUS-n20s04_predicted,62188
SPLUS-n20s05_predicted,51129
SPLUS-n20s06_predicted,54136
SPLUS-n20s07_predicted,10955
