ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
36.527958,-0.331932,0.021311,6e-06,6388.877,1.798755,1.2e-05,1.9e-05,74.283,0
36.526728,-0.334827,0.021834,1.2e-05,6545.669,3.597509,0.003157,0.004848,227.841,0
36.532587,-0.328102,0.020667,7e-06,6195.811,2.098547,0.005999,0.009212,-114.801,0
36.596333,-0.491917,0.021156,1e-05,6342.409,2.997925,0.173994,0.267191,28.774,0
36.714468,-0.292565,0.020507,0.000333,6147.844,99.830889,0.190612,0.292711,-161.779,0
36.325619,-0.387098,0.021098,5.5e-05,6325.021,16.488585,0.209726,0.322064,11.744,0
36.324923,-0.387136,0.021064,2.1e-05,6314.828,6.295642,0.210408,0.32311,1.762,0
36.887201,-0.244542,0.02104,6e-06,6307.633,1.798755,0.369709,0.567739,-5.285,0
36.902332,-0.386041,0.021931,7e-06,6574.748,2.098547,0.378258,0.580867,256.321,0
37.043383,0.014491,0.02125,7e-06,6370.59,2.098547,0.621009,0.953646,56.373,0
37.152486,-0.24663,0.021304,1.3e-05,6386.779,3.897302,0.630313,0.967932,72.228,0
36.631059,0.374962,0.02069,0.000333,6202.706,99.830889,0.714361,1.097,-108.048,0
36.609085,0.555134,0.021542,0.000333,6458.129,99.830889,0.890756,1.367879,142.107,0
37.227969,0.370288,0.020201,9e-06,6056.107,2.698132,0.99151,1.522601,-251.623,0
37.413635,0.123263,0.020195,7e-06,6054.309,2.098547,0.995784,1.529164,-253.385,0
37.234265,0.370528,0.020589,4e-06,6172.427,1.19917,0.996134,1.529702,-137.703,0
37.391193,0.37312,0.02151,1.4e-05,6448.536,4.197094,1.114553,1.71155,132.712,0
37.060488,0.652695,0.020216,7e-06,6060.604,2.098547,1.119394,1.718985,-247.219,0
35.487667,0.220639,0.020785,8e-06,6231.186,2.39834,1.17792,1.808859,-80.155,0
37.625214,0.380304,0.0218,1.3e-05,6535.476,3.897302,1.308124,2.008806,217.858,0
37.907167,-0.14025,0.020414,7e-06,6119.963,2.098547,1.392439,2.138283,-189.085,0
37.80432,0.36709,0.02129,5e-06,6382.581,1.498962,1.455217,2.234687,68.117,0
37.387365,0.89397,0.02154,0.000158,6457.53,47.367208,1.497117,2.29903,141.52,0
37.699266,0.604054,0.021714,5e-06,6509.693,1.498962,1.49932,2.302413,192.608,0
37.813869,0.45739,0.020503,0.000333,6146.645,99.830889,1.508813,2.316991,-162.953,0
37.825846,0.466264,0.021641,0.000333,6487.809,99.830889,1.523663,2.339796,171.174,0
37.618525,0.735606,0.021622,0.000333,6482.113,99.830889,1.526075,2.343499,165.596,0
37.93075,0.293472,0.021115,1.4e-05,6330.118,4.197094,1.535861,2.358527,16.736,0
37.62495,0.79037,0.021767,3.1e-05,6525.582,9.293566,1.569357,2.409965,208.169,0
37.58246,0.913066,0.020798,7.7e-05,6235.084,23.084019,1.63154,2.505456,-76.339,0
38.132657,0.058237,0.021316,5e-06,6390.376,1.498962,1.65142,2.535984,75.751,0
38.208894,-0.353253,0.020363,4e-06,6104.674,1.19917,1.681041,2.581472,-204.059,0
38.125151,0.233685,0.020665,7e-06,6195.211,2.098547,1.694356,2.601919,-115.389,0
