field,n_objects
SPLUS-s24s22,15233
SPLUS-s24s23,17584
SPLUS-s24s24,16285
SPLUS-s24s25,18562
SPLUS-s24s26,16368
SPLUS-s24s27,15968
SPLUS-s24s28,15959
SPLUS-s24s29,16372
SPLUS-s24s31,16217
SPLUS-s24s32,17444
SPLUS-s24s33,16681
SPLUS-s24s34,14414
SPLUS-s25s21,3366
SPLUS-s25s22,18265
SPLUS-s25s23,17651
SPLUS-s25s24,16871
SPLUS-s25s26,17644
SPLUS-s25s27,15600
SPLUS-s25s28,13528
SPLUS-s25s29,14529
SPLUS-s25s30,16721
SPLUS-s25s31,16876
SPLUS-s25s32,16442
SPLUS-s25s33,18196
SPLUS-s25s34,7320
SPLUS-s26s21,5669
SPLUS-s26s22,19357
SPLUS-s26s23,17231
SPLUS-s26s24,15691
SPLUS-s26s25,18385
SPLUS-s26s26,23223
SPLUS-s26s27,16794
SPLUS-s26s28,15623
SPLUS-s26s29,15663
SPLUS-s26s30,17242
SPLUS-s26s31,17304
SPLUS-s26s32,15684
SPLUS-s26s33,15209
SPLUS-s27s21,6797
SPLUS-s27s22,15477
SPLUS-s27s23,16821
SPLUS-s27s24,18201
SPLUS-s27s25,57860
SPLUS-s27s26,24484
SPLUS-s27s27,16646
SPLUS-s27s28,15987
SPLUS-s27s29,15395
SPLUS-s27s30,16692
SPLUS-s27s31,15922
SPLUS-s27s32,17279
SPLUS-s27s33,687
SPLUS-s28s22,16578
SPLUS-s28s23,19062
SPLUS-s28s24,17020
SPLUS-s28s25,16197
SPLUS-s28s26,17371
SPLUS-s28s27,15967
SPLUS-s28s28,16331
SPLUS-s28s29,16879
SPLUS-s28s30,16447
SPLUS-s28s31,16573
SPLUS-s28s32,1974
SPLUS-s29s24,17183
SPLUS-s29s25,14901
SPLUS-s29s26,15733
SPLUS-s29s27,16301
SPLUS-s29s28,17288
SPLUS-s29s29,16774
SPLUS-s29s30,10668
SPLUS-s29s31,195
SPLUS-s30s23,12221
SPLUS-s30s24,16185
SPLUS-s30s25,16631
SPLUS-s30s26,16893
SPLUS-s30s27,16636
SPLUS-s30s28,13093
SPLUS-s30s29,3688
SPLUS-s31s23,13
SPLUS-s31s24,2257
SPLUS-s31s25,4477
SPLUS-s31s26,3614
SPLUS-s31s27,381
