NAME,RA_CLUSTER,DEC_CLUSTER,RADEC_ERR,RA_OPTICAL,DEC_OPTICAL,RA_BCG,DEC_BCG,REFMAG_BCG,BEST_Z,BEST_Z_ERR,BEST_Z_TYPE,Z_LAMBDA,LIT_Z,LIT_Z_ERR,LIT_Z_SRC,SPEC_Z_BOOT,SPEC_Z_BOOT_ERR,N_MEMBERS,BCG_SPEC_Z,VDISP_BOOT,VDISP_BOOT_ERR,VDISP_BOOT_FLAG,VDISP_TYPE,LAMBDA_NORM,LAMBDA_NORM_ERR,LAMBDA_OPT_NORM,LAMBDA_OPT_NORM_ERR,SCALEVAL,MASKFRAC,RUN,LMAX,NHI,EXT_LIKE,SHARED_MEMBERS,IN_FOOTPRINT,LIMMAG_G,IN_ZVLIM,ZVLIM_02,ZVLIM_04,GAIA_10MAG_30_ARCSEC,NGC_30_ARCSEC,HECATE_30_ARCSEC,RA_XFIT,DEC_XFIT,PCONT,EXP,CR500,CTS500,F500,F500_L,F500_H,L500,L500_L,L500_H,CR500_0520,CTS500_0520,F500_0520,F500_L_0520,F500_H_0520,L500_0520,L500_L_0520,L500_H_0520,Lbol500,Lbol500_L,Lbol500_H,KT,KT_L,KT_H,MGAS500,MGAS500_L,MGAS500_H,M500,M500_L,M500_H,FGAS500,FGAS500_L,FGAS500_H,R500,R500_L,R500_H,MATCH_NAME
1eRASS J134345.3+040548,205.9391,4.09692,8.27,205.9406,4.09645,205.9406,4.09645,14.363,0.11814,6.6E-4,spec_z_boot,0.11939,0.11654,,REDMAPPER-SDSS-DR8,0.11814,6.6E-4,11,0.11654,357.2,79.56,0.0,gapper,28.41,2.41,28.42,2.42,1.06866,0.066,legacy_dr10_grz_z_v0.9,48.6091,0.0173,49.64963,false,true,24.27,true,0.718,0.967,false,false,false,205.9408,4.0954,0.0,139.8,1.111,155.4,106.071,94.995,120.037,39.916,35.675,45.075,0.897,125.4,77.737,69.675,88.049,27.483,24.644,31.103,111.542,79.835,187.272,-1.0,3.3,-1.0,136.14,115.59,154.52,22.4,20.2,24.46,0.061,0.051,0.072,889.0,859.0,915.0,"CODEX_53335,REDMAPPER-SDSS-DR8_RMJ134345.7+040547.3"
1eRASS J134424.4+113906,206.1019,11.65175,8.1,206.0967,11.64908,206.0967,11.64908,13.844,0.09571,6.4E-4,spec_z_boot,0.09307,0.1077,0.01994,ACTDR5,0.09571,6.4E-4,20,0.09559,658.85,132.79,0.0,biweight,30.19,2.47,30.29,2.48,1.06034,0.058,legacy_dr10_grz_z_v0.9,36.4946,0.01704,29.32261,false,true,23.01,true,0.452,0.616,false,false,false,206.0982,11.6567,0.0,143.3,2.165,310.2,197.923,178.403,217.943,50.071,45.285,55.087,1.739,249.2,145.896,131.922,160.323,34.164,30.99,37.754,80.933,72.176,90.752,1.6,1.42,2.21,176.36,157.77,193.36,27.29,24.55,29.61,0.065,0.057,0.075,957.0,923.0,983.0,"ACTDR5_ACT-CL J1344.3+1138,CODEX_48884,GALWEIGHT_89"
1eRASS J134426.2-322916,206.1092,-32.48781,10.04,206.1067,-32.48935,206.1067,-32.48935,15.352,0.16683,0.00428,photo_z,0.16683,,,none,,,0,,,,,nan,27.4,2.1,27.45,2.09,1.05366,0.051,legacy_dr10_grz_z_v0.9,69.4196,0.03536,23.11312,false,true,24.36,true,0.918,1.163,false,false,false,206.1077,-32.4892,0.0011,176.7,0.513,90.6,45.964,38.592,54.052,40.57,33.976,48.128,0.425,75.2,35.331,29.859,41.81,28.081,23.489,33.139,68.237,55.103,83.365,1.52,1.19,2.42,101.5,74.46,126.43,20.69,17.69,24.06,0.049,0.035,0.066,852.0,808.0,895.0,
1eRASS J134517.1-015633,206.3213,-1.94258,20.09,206.3203,-1.94046,206.3203,-1.94046,14.958,0.14996,6.2E-4,spec_z_boot,0.1472,0.14991,,REDMAPPER-SDSS-DR8,0.14996,6.2E-4,8,0.14991,284.9,78.95,0.0,gapper,20.69,2.02,20.28,2.01,1.03877,0.042,legacy_dr10_grz_z_v0.9,35.6682,0.03087,3.95466,false,true,23.3,true,0.444,0.606,false,false,false,206.3207,-1.9449,0.0997,144.7,0.144,20.8,13.352,8.982,18.64,8.914,5.951,12.518,0.119,17.2,10.133,6.823,14.07,6.194,4.152,8.606,22.751,12.828,39.133,-1.0,1.35,-1.0,27.6,13.83,40.5,5.66,4.27,7.75,0.049,0.026,0.081,556.0,506.0,617.0,REDMAPPER-SDSS-DR8_RMJ134516.9-015625.7
1eRASS J134526.8+134347,206.3618,13.72974,7.51,206.3614,13.73227,206.3614,13.73227,14.894,0.15165,6.1E-4,spec_z_boot,0.15438,0.15181,,REDMAPPER-SDSS-DR8,0.15165,6.1E-4,12,0.15181,512.02,121.29,0.0,gapper,49.46,3.17,48.87,3.18,1.06161,0.053,legacy_dr10_grz_z_v0.9,70.1016,0.01764,4.33416,false,true,23.67,true,0.627,0.837,false,false,false,206.3621,13.7284,0.004,150.0,0.316,47.4,27.961,19.732,39.561,19.156,13.51,27.307,0.256,38.4,20.974,14.558,29.391,13.44,9.437,18.897,32.223,21.712,48.342,1.37,0.87,3.51,64.84,42.02,83.82,11.11,8.11,15.46,0.056,0.034,0.087,696.0,626.0,777.0,REDMAPPER-SDSS-DR8_RMJ134526.8+134356.4
1eRASS J134530.5+172106,206.3774,17.3519,19.02,206.3793,17.35634,206.3793,17.35634,15.467,0.16521,4.0E-4,cg_spec_z,0.17015,,,none,,,0,0.16521,,,,nan,18.94,2.12,19.03,2.15,1.04407,0.043,legacy_dr10_grz_z_v0.9,27.1977,0.01568,12.56335,false,true,23.62,true,0.643,0.861,false,false,false,206.3762,17.3511,0.0798,151.2,0.136,20.6,11.59,7.777,16.144,9.796,6.496,13.592,0.112,17.0,8.799,5.891,12.076,7.028,4.657,9.678,15.559,10.454,23.638,-1.0,0.39,-1.0,15.05,6.78,26.84,5.53,4.4,7.88,0.027,0.012,0.05,549.0,508.0,618.0,
1eRASS J134605.9+124137,206.5248,12.69373,35.29,206.5275,12.66735,206.5045,12.63707,16.196,0.19589,4.0E-4,cg_spec_z,0.1948,0.19589,,REDMAPPER-SDSS-DR8,,,0,0.1949,,,,nan,14.82,1.75,20.71,2.05,1.01055,0.013,legacy_dr10_grz_z_v0.9,24.294,0.01846,9.50153,false,true,23.39,true,0.576,0.764,false,false,false,206.5258,12.6731,0.0184,145.1,0.275,40.0,25.862,19.436,33.567,29.062,21.574,37.644,0.222,32.2,18.981,14.279,24.572,20.047,14.894,25.899,71.379,46.745,123.58,-1.0,1.57,-1.0,104.73,83.4,123.49,13.42,11.19,17.34,0.076,0.054,0.098,730.0,687.0,795.0,REDMAPPER-SDSS-DR8_RMJ134606.6+124002.4
1eRASS J134606.3+055813,206.5265,5.97043,8.28,206.5252,5.97132,206.5252,5.97132,14.944,0.12733,0.00184,spec_z_boot,0.12272,,,none,0.12733,0.00184,8,0.12656,1045.4,548.75,0.11,gapper,16.54,1.71,16.63,1.71,1.02012,0.015,legacy_dr10_grz_z_v0.9,25.674,0.01757,21.8254,false,true,23.3,true,0.551,0.733,false,false,false,206.5269,5.9689,0.0072,142.7,0.524,74.7,47.727,39.041,58.404,22.074,17.888,27.041,0.424,60.5,35.288,28.747,43.283,15.228,12.285,18.626,38.944,30.77,54.1,1.44,1.13,3.76,60.65,37.45,82.96,13.64,11.77,16.25,0.043,0.027,0.062,751.0,715.0,796.0,
1eRASS J134625.7+092848,206.6074,9.48015,15.35,206.6077,9.47421,206.6077,9.47421,15.337,0.19684,4.0E-5,cg_spec_z,0.18758,0.192,,CODEX,,,0,0.19684,,,,nan,17.38,2.1,17.97,2.16,1.04608,0.042,legacy_dr10_grz_z_v0.9,23.8121,0.02082,10.8893,false,true,23.23,true,0.632,0.844,false,false,false,206.6076,9.4783,0.0507,138.3,0.237,32.7,22.354,16.641,28.837,25.479,18.886,32.634,0.192,26.5,16.544,12.338,21.351,17.593,13.032,22.568,73.534,45.073,116.737,-1.0,3.84,-1.0,67.33,41.93,95.66,12.03,9.25,15.21,0.057,0.034,0.085,703.0,644.0,761.0,CODEX_48904
1eRASS J134658.1-254124,206.7423,-25.69022,3.85,206.7188,-25.70193,206.6811,-25.6269,14.178,0.12357,1.0E-4,cg_spec_z,0.11935,,,none,,,0,0.12899,,,,nan,30.54,3.01,30.79,2.98,1.06171,0.059,legacy_dr10_grz_z_v0.9,32.3907,0.05248,7.17774,false,true,23.72,true,0.666,0.895,false,false,false,206.7428,-25.6915,0.0,164.6,0.946,155.6,88.131,74.151,107.611,42.21,35.113,52.008,0.797,131.2,68.839,57.972,84.282,28.948,24.167,35.604,96.514,72.836,162.907,3.19,1.76,13.61,157.0,138.51,174.77,22.32,19.39,26.08,0.07,0.058,0.083,886.0,846.0,934.0,
