# fonte: heasarc_subset+center.csv
# contem todos os clusters não filtrados
# esta tabela deve ser filtrada pela tabela catalog_v4_part3+allow.csv
clsid,ra,dec,cluster_name,z,z_count,z_count_15p,z_count_10p
18721,72.05083333,-20.46972222,MCXCJ0448.2-2028,0.072,368,71,56
34135,167.97441,2.48283,[YMV2007]27710,0.0781164,635,71,34
28490,190.2751,-2.20862,[YMV2007]25093,0.0879897,847,71,32
19030,227.88958333,1.76416667,MCXCJ1511.5+0145,0.0384,1256,70,50
13149,12.1748,1.36666,A102,0.0632,4750,70,31
12900,155.123,-6.51682,A978,0.0527,1148,70,55
26245,358.76959,-9.39065,[YMV2007]492,0.0740831,574,70,44
30741,149.95647,-0.22369,[YMV2007]4832,0.0914,1359,70,26
15594,24.3,-9.1833,CID12,0.041,862,69,45
32989,214.32443,1.15623,[YMV2007]3102,0.0535297,1173,69,31
25558,13.87056,-10.93858,[YMV2007]491,0.0560268,1833,69,49
28794,217.64674,-1.66713,[YMV2007]2713,0.0567019,925,67,46
33824,155.20218,2.11177,[YMV2007]4803,0.0727338,696,66,28
34697,226.45308,3.14738,[YMV2007]622,0.0424668,973,65,41
15593,24.3137,-9.2028,MCXCJ0137.2-0912,0.039,935,65,43
20485,193.135,-15.448,NGC4756,0.0142,852,65,50
12975,173.222,-3.96667,A1308,0.0481,1147,65,35
