CLS_ID,PID,NAME,RA,DEC,RA_d,DEC_d,EPOC,STATUS,Failed,,,,,available
A1069,SPLUS,SPLUS-n08s07,10:37:33,-9:29:10,159.3875,-9.486111111,2000,1,-,ToBeDef,1,1,36,False 
A1069,SPLUS,SPLUS-n08s08,10:43:03,-9:29:10,160.7625,-9.486111111,2000,6,-,galaxies,5,1,0,False 
A1069,SPLUS,SPLUS-n09s07,10:34:29,-10:50:08,158.6208333,-10.83555556,2000,1,-,ToBeDef,1,1,35,False 
A1069,SPLUS,SPLUS-n09s08,10:40:00,-10:50:08,160.0,-10.83555556,2000,6,-,ToBeDef,1,1,33,False 
A1069,SPLUS,SPLUS-n09s09,10:45:31,-10:50:08,161.3791667,-10.83555556,2000,1,-,ToBeDef,2,1,36,False 
A1520,SPLUS,SPLUS-n10s25,12:16:37,-12:11:01,184.1541667,-12.18361111,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A1520,SPLUS,SPLUS-n10s26,12:22:09,-12:11:01,185.5375,-12.18361111,2000,5,ToBeDef,6,0,-5,0,False 
A1520,SPLUS,SPLUS-n11s25,12:13:54,-13:31:50,183475,-13.53055556,2000,1,-,galaxy ,,,,
A1520,SPLUS,SPLUS-n11s27,12:25:01,-13:31:50,186.2541667,-13.53055556,2000,6,-,galaxies,3,1,35,False 
A1631,SPLUS,SPLUS-n10s29,12:38:46,-12:11:01,189.6916667,-12.18361111,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A1631,SPLUS,SPLUS-n10s30,12:44:18,-12:11:01,191075,-12.18361111,2000,1,F410 F515,,,,,
A1631,SPLUS,SPLUS-n10s31,12:49:51,-12:11:01,192.4625,-12.18361111,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A1631,SPLUS,SPLUS-n10s32,12:55:23,-12:11:01,193.8458333,-12.18361111,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A1631,SPLUS,SPLUS-n10s33,13:00:55,-12:11:01,195.2291667,-12.18361111,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A1631,SPLUS,SPLUS-n13s34,13:07:30,-16:13:11,196875,-16.21972222,2000,1,-,galaxies,4,1,36,False 
A1631,SPLUS,SPLUS-n14s29,12:39:41,-17:33:44,189.9208333,-17.56222222,2000,2,-,ToBeDef,1,1,35,False 
A1631,SPLUS,SPLUS-n14s30,12:45:21,-17:33:44,191.3375,-17.56222222,2000,6,-,ToBeDef,1,1,0,False 
A1631,SPLUS,SPLUS-n14s34,13:08:02,-17:33:44,197.0083333,-17.56222222,2000,1,-,galaxies,4,1,36,False 
A1631,SPLUS,SPLUS-n15s29,12:40:00,-18:54:11,190.0,-18.90305556,2000,4,ToBeDef,ToBeDef,0,-5,0,False 
A1631,SPLUS,SPLUS-n15s30,12:45:43,-18:54:11,191.4291667,-18.90305556,2000,4,Z F861,,0,-5,0,False
A1631,SPLUS,SPLUS-n15s34,13:08:34,-18:54:11,197.1416667,-18.90305556,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A1644,SPLUS,SPLUS-n12s30,12:47:38,-14:52:33,191.9083333,-14.87583333,2000,1,-,wanderful ,,,,
A1644,SPLUS,SPLUS-n12s31,12:53:14,-14:52:33,193.3083333,-14.87583333,2000,1,-,galaxies,7,1,72,True
A1644,SPLUS,SPLUS-n12s32,12:58:50,-14:52:33,194.7083333,-14.87583333,2000,4,-,"asteroids, galaxy",,,,
A1644,SPLUS,SPLUS-n12s33,13:04:26,-14:52:33,196.1083333,-14.87583333,2000,1,-,galaxies,3,1,36,True 
A1644,SPLUS,SPLUS-n12s34,13:10:02,-14:52:33,197.5083333,-14.87583333,2000,4,-,galaxies,3,1,36,True 
A1644,SPLUS,SPLUS-n13s30,12:45:00,-16:13:11,191.25,-16.21972222,2000,1,-,ToBeDef,3,1,36,True 
A1644,SPLUS,SPLUS-n13s31,12:50:38,-16:13:11,192.6583333,-16.21972222,2000,1,-,galaxies,4,1,36,True 
A1644,SPLUS,SPLUS-n13s32,12:56:15,-16:13:11,194.0625,-16.21972222,2000,1,-,ToBeDef,3,1,34,True 
A1644,SPLUS,SPLUS-n13s33,13:01:53,-16:13:11,195.4708333,-16.21972222,2000,1,-,galaxies,5,1,36,True 
A1644,SPLUS,SPLUS-n14s31,12:51:01,-17:33:44,192.7541667,-17.56222222,2000,1,-,galaxies,4,1,36,True 
A1644,SPLUS,SPLUS-n14s32,12:56:42,-17:33:44,194175,-17.56222222,2000,1,-,galaxies,5,1,36,True 
A1644,SPLUS,SPLUS-n14s33,13:02:22,-17:33:44,195.5916667,-17.56222222,2000,1,-,galaxies,5,1,36,True 
A1644,SPLUS,SPLUS-n15s31,12:51:26,-18:54:11,192.8583333,-18.90305556,2000,1,-,ToBeDef,3,1,34,True 
A1644,SPLUS,SPLUS-n15s32,12:57:09,-18:54:11,194.2875,-18.90305556,2000,1,-,galaxies,4,1,36,True 
A1644,SPLUS,SPLUS-n15s33,13:02:51,-18:54:11,195.7125,-18.90305556,2000,1,-,ToBeDef,2,1,35,True 
A1644,SPLUS,SPLUS-n16s29,12:46:05,-20:14:34,191.5208333,-20.24277778,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A1644,SPLUS,SPLUS-n16s30,12:51:50,-20:14:34,192.9583333,-20.24277778,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A1644,SPLUS,SPLUS-n16s31,12:57:36,-20:14:34,194.4,-20.24277778,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A1644,SPLUS,SPLUS-n16s32,13:03:22,-20:14:34,195.8416667,-20.24277778,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A1644,SPLUS,SPLUS-n16s33,13:09:07,-20:14:34,197.2791667,-20.24277778,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A2399,SPLUS,SPLUS-s06s04,21:54:33,-6:46:57,328.6375,-6.7825,2000,6,-,ToBeDef,3,1,35,False 
A2399,SPLUS,SPLUS-s06s05,22:00:00,-6:46:57,330.0,-6.7825,2000,1,-,ToBeDef,3,1,72,False 
A2399,SPLUS,SPLUS-s06s06,22:05:27,-6:46:57,331.3625,-6.7825,2000,6,-,ToBeDef,3,1,35,False 
A2399,SPLUS,SPLUS-s07s04,21:54:04,-8:08:06,328.5166667,-8135,2000,6,-,ToBeDef,3,1,35,False 
A2399,SPLUS,SPLUS-s07s05,21:59:33,-8:08:06,329.8875,-8135,2000,6,-,galaxy ,,,,
A2399,SPLUS,SPLUS-s07s06,22:05:01,-8:08:06,331.2541667,-8135,2000,1,-,galaxy ,,,,
A2399,SPLUS,SPLUS-s08s04,21:53:35,-9:29:10,328.3958333,-9.486111111,2000,4,-,ToBeDef,2,1,34,False 
A2399,SPLUS,SPLUS-s08s05,21:59:05,-9:29:10,329.7708333,-9.486111111,2000,6,-,galaxy ,,,,
A2399,SPLUS,SPLUS-s08s06,22:04:35,-9:29:10,331.1458333,-9.486111111,2000,1,-,galaxy ,,,,
A2415,SPLUS,SPLUS-s04s05,22:00:27,-4:04:25,330.1125,-4.073611111,2000,1,-,ToBeDef,2,1,35,False 
A2415,SPLUS,SPLUS-s04s06,22:05:53,-4:04:25,331.4708333,-4.073611111,2000,1,-,ToBeDef,2,1,36,False 
A2415,SPLUS,SPLUS-s04s07,22:11:19,-4:04:25,332.8291667,-4.073611111,2000,1,-,ToBeDef,2,1,36,False 
A2415,SPLUS,SPLUS-s05s05,22:00:00,-5:25:44,330.0,-5.428888889,2000,6,-,ToBeDef,2,1,35,False 
A2415,SPLUS,SPLUS-s05s06,22:05:27,-5:25:44,331.3625,-5.428888889,2000,6,-,ToBeDef,2,1,34,False 
A2415,SPLUS,SPLUS-s05s07,22:10:55,-5:25:44,332.7291667,-5.428888889,2000,6,-,ToBeDef,3,1,34,False 
A2415,SPLUS,SPLUS-s06s07,22:10:55,-6:46:57,332.7291667,-6.7825,2000,6,-,ToBeDef,2,1,35,False 
A2457,STRIPE82,STRIPE82_0139,22:29:17,-0:42:00,337.3208333,-0.7,2000,1,UN,UN,UN,-99,36,True 
A2457,STRIPE82,STRIPE82_0140,22:29:17,+00:42:00,337.3208333,0.7,2000,1,UN,UN,UN,-99,36,True 
A2457,STRIPE82,STRIPE82_0141,22:34:58,-0:42:00,338.7416667,-0.7,2000,1,UN,UN,UN,-99,36,True 
A2457,STRIPE82,STRIPE82_0142,22:34:58,+00:42:00,338.7416667,0.7,2000,1,UN,UN,UN,-99,50,True 
A2457,STRIPE82,STRIPE82_0143,22:40:38,-0:42:00,340.1583333,-0.7,2000,1,UN,UN,UN,-99,50,True 
A2457,STRIPE82,STRIPE82_0144,22:40:38,+00:42:00,340.1583333,0.7,2000,1,UN,UN,UN,-99,36,True 
A2717,SPLUS,SPLUS-s25s01,0:00:04,-32:13:38,0.01666666667,-32.22722222,2000,1,-,galaxies,6,1,36,False 
A2717,SPLUS,SPLUS-s25s02,0:06:22,-32:13:38,1.591666667,-32.22722222,2000,1,-,ToBeDef,1,1,36,False 
A2717,SPLUS,SPLUS-s25s03,0:12:45,-32:13:38,3.1875,-32.22722222,2000,4,-,ToBeDef,1,1,36,False 
A2717,SPLUS,SPLUS-s25s04,0:19:07,-32:13:38,4.779166667,-32.22722222,2000,1,-,ToBeDef,2,1,36,False 
A2717,SPLUS,SPLUS-s26s01,0:00:04,-33:33:01,0.01666666667,-33.55027778,2000,4,-,ToBeDef,3,1,36,False 
A2717,SPLUS,SPLUS-s26s02,0:06:27,-33:33:01,1.6125,-33.55027778,2000,6,-,ToBeDef,3,1,32,False 
A2717,SPLUS,SPLUS-s26s03,0:12:55,-33:33:01,3.229166667,-33.55027778,2000,6,-,ToBeDef,4,1,35,False 
A2717,SPLUS,SPLUS-s26s04,0:19:22,-33:33:01,4.841666667,-33.55027778,2000,6,-,ToBeDef,1,1,35,False 
