name,clsid,z_cluster,R200_Mpc,peak_spec_m,peak_spec_m_density,peak_photo_m,peak_photo_m_density,z_offset_m,peak_spec_mi,peak_spec_mi_density,peak_photo_mi,peak_photo_mi_density,z_offset_mi,rmse_base_m,rmse_base_mi,rmse_om_m,rmse_om_mi,rel_om_m,rel_om_mi,rmse_omi_m,rmse_omi_mi,rel_omi_m,rel_omi_mi
MKW4,36,0.02,1.040702,0.02040683417085427,45.432146314889025,0.025235155148241206,11.324829571142725,0.004828320977386936,0.02029852763819096,19.121425095331787,0.02501620227889447,11.641855393770026,0.004717674640703513,0.007054997847585989,0.007900494512816719,0.0045965750850851346,0.0062156341800736065,-0.3484654163774201,-0.21326011049179486,0.004611174410122602,0.0062174870213370665,-0.3463960571298531,-0.21302558830328447
A639,109,0.0204,0.985418,0.02115794974874372,4.987814112647982,0.021421495195979898,1.3572714709725937,0.0002635454472361791,0.020425663316582916,8.391163879447731,0.021263050582914576,4.6032826110938965,0.00083738726633166,0.005298068907299936,0.006742464432888193,0.005198141687297731,0.0066033532952658,-0.018861064616302135,-0.02063209068539409,0.005021696067564678,0.0063279033534824145,-0.05216482544318335,-0.06148509696004401
IC1860,52,0.0223,0.908325,0.022433648241206028,21.558673121369555,0.02509793904522613,5.102301031840514,0.0026642908040201037,0.02231256281407035,11.028975213985122,0.025211567879396983,5.9700442656432875,0.0028990050653266326,0.0070599462537945185,0.007110967638179678,0.00551183757508423,0.006058342872205379,-0.21928051900936565,-0.14802834431739284,0.005417214912650261,0.00601354592553139,-0.23268326444572246,-0.15432804204537412
WBL074,64,0.02251,0.835953,0.021637477386934674,33.04286845195664,0.02549882236683417,5.801736918621797,0.0038613449798994975,0.022247919597989947,15.231877780709702,0.027676853678391962,8.264698603039093,0.005428934080402015,0.009780917618667898,0.0089046353389356,0.00745115919512839,0.0074343853915421225,-0.23819425889989324,-0.16511062962508927,0.006908821708054751,0.007350376811773193,-0.2936427871687063,-0.1745448823003898
NGC1132,41,0.0231,0.412966,0.023447718592964822,14.714916438910766,0.026238027763819095,1.409789249559572,0.002790309170854273,0.023346276381909548,7.900390809923054,0.02726120453266332,3.637738371853661,0.003914928150753772,0.008821407021410923,0.009480524682079862,0.007208038791625272,0.008728193051202808,-0.1828923918678456,-0.0793554846494008,0.00677756071570711,0.00866388198637535,-0.23169164519255048,-0.08613897680664603
A2870,74,0.023702,0.397745,0.022786934673366836,10.579733070828356,0.024924522984924622,1.758788971044759,0.002137588311557786,0.022523778894472362,6.434859145138262,0.02665091005527638,3.3636310398032863,0.004127131160804019,0.0059518869448822054,0.006335773242865237,0.005056088359195049,0.005171924413390475,-0.15050665343323072,-0.18369483642511683,0.004959551893901379,0.00474281308570832,-0.1667261257094436,-0.2514231643234331
A2877,17,0.023916,0.678882,0.023431442211055278,10.282443452661829,0.025312483728643215,2.9897309385895983,0.0018810415175879378,0.022873768844221105,7.290551128786977,0.02663470569849246,5.351476422352727,0.0037609368542713545,0.005321010640255438,0.005364123971927839,0.004657098401848394,0.004694141324881252,-0.12477183063388361,-0.1249006642189514,0.004705122851799506,0.004729732913831626,-0.11574639294958566,-0.11826554744375448
MKW8,24,0.027,0.992137,0.02774843718592965,71.86055932721935,0.028654292180904522,22.200372730169818,0.0009058549949748709,0.027793175879396986,54.95531575805586,0.02847461830653266,24.13082570772677,0.0006814424271356749,0.0062857041929368475,0.006738184003041674,0.005976335291082645,0.006498483585157435,-0.04921785886803831,-0.03557344497805883,0.00604180791298395,0.006547013740081685,-0.03880174320435884,-0.02837118470995939
[YMV2007]2116,55,0.027573,1.058839,0.028659522613065327,50.36291426123279,0.029435339989949752,7.615063622068217,0.0007758173768844245,0.038556301507537694,25.26183467956849,0.03159296607035176,18.865227279917878,-0.006963335437185934,0.00824639469320677,0.008767228353945368,0.00807362788691369,0.008804624009261356,-0.020950586616403723,0.004265390817516409,0.01213261052361335,0.011173930474021722,0.4712624092087145,0.2745111707958771
A4049,60,0.029076,0.623738,0.02922562814070352,14.929567243275113,0.030861963155778896,3.6539232488271125,0.0016363350150753776,0.02908286934673367,8.946822119313067,0.031527534708542714,4.787545597778624,0.002444665361809043,0.004412165915038414,0.005590604565500885,0.004066490081857864,0.005377572918922999,-0.0783460640050614,-0.038105296856888196,0.00413093512989868,0.005453453034771728,-0.06373984808259085,-0.024532504333342905
A4038,7,0.029165,1.528774,0.029168854271356785,13.465038399284731,0.030779714592964823,4.638320239000408,0.0016108603216080375,0.02883645728643216,21.467999376405853,0.03193641721105528,11.347869649189224,0.0030999599246231205,0.0048959764429872535,0.006318952952310922,0.004668477434823777,0.006165543704832927,-0.04646652425980005,-0.02427763723448695,0.004939574653432167,0.006392152126285783,0.008904906090257373,0.011584066937559812
A3744,3,0.03749,0.622722,0.037718150753768845,15.406103908353721,0.041443545603015074,4.18972271597425,0.003725394849246229,0.037794286432160804,8.882105587669566,0.040318224919597995,5.165795563329242,0.002523938487437191,0.0038107714135137945,0.0046309344945879094,0.004023946097298972,0.0053816370571587524,0.05594003435346861,0.1621060637865156,0.0035526194741887954,0.004848249454031963,-0.06774269860678031,0.04692680488096421
A3733,25,0.0382,1.151287,0.0371602311557789,9.099210033039293,0.03853635617085427,5.264044254582739,0.0013761250150753704,0.0383943567839196,11.633794956224513,0.038224798402010055,7.919915648903645,-0.00016955838190954586,0.004794706269856661,0.00500955835036094,0.005119681016789757,0.005374733149085531,0.06777782175649558,0.07289560739386938,0.004780617560243742,0.004989039936407879,-0.0029383884684430804,-0.004095852871258094
