cluster_name,ra,dec,z
A3389,95.44749999999999,-64.95972222222223,0.026700
A1520,184.83249999999998,-13.26,0.0688
A2870,16.927374999999998,-46.908027777777775,0.0242
A3565,204.1625,-33.97166666666667,0.010900
A3716,312.8195833333333,-52.695277777777775,0.047
MZ00407,329.63342687499994,-28.616714805555556,0.02168214
A147,17.041666666666664,2.1666666666666665,0.043800
Antlia,157.4212320833333,-35.32580777777778,0.011054
IIZw108,316.06249999999994,0.7,0.04889
