name,ra,dec,field,z
"WHLJ003839+004345",9.661138013437546,0.7248186779147735,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.656720018259211,0.7249389644149088,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.66662912031143,0.7269254548479687,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.666138811492845,0.7274840028699784,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.6710670004971,0.7292506421861282,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.668956002394998,0.7285961800127551,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.660855490694226,0.7300360134476318,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.668854081933363,0.730395211337955,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.65704574153683,0.7304065692349504,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.656430751228896,0.7307293312476607,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.671165767341927,0.730423408911136,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.660224381714992,0.7321855691086896,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.663329034743407,0.7291240437029775,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.659150323751817,0.7312357925068598,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.658971546393092,0.7346292272539788,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.670196450646092,0.729770362602677,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.666714784193307,0.7360502624738953,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.65991596882507,0.7359654305561676,"STRIPE82-0016",0.6955
"WHLJ003839+004345",9.661289222336784,0.7371945965868527,"STRIPE82-0016",0.6955
"WHLJ003922+004820",9.834007469494507,0.802667874969879,"STRIPE82-0016",0.4148
"WHLJ003922+004820",9.84595912795971,0.7983582652240538,"STRIPE82-0016",0.4148
"WHLJ003922+004820",9.839795014009754,0.8009312911980057,"STRIPE82-0016",0.4148
"WHLJ003922+004820",9.838407445517795,0.8041263584870973,"STRIPE82-0016",0.4148
"WHLJ003922+004820",9.836962287211962,0.8031649194098717,"STRIPE82-0016",0.4148
"WHLJ003922+004820",9.8400385043848,0.8067023023867554,"STRIPE82-0016",0.4148
"WHLJ003922+004820",9.849374843737651,0.8063155780492735,"STRIPE82-0016",0.4148
"WHLJ003922+004820",9.839386920617804,0.8081525655903231,"STRIPE82-0016",0.4148
"WHLJ003922+004820",9.841654504013333,0.8054573759815757,"STRIPE82-0016",0.4148
"WHLJ003922+004820",9.846564014098826,0.811930588288847,"STRIPE82-0016",0.4148
"WHLJ003942+004541",9.92607734964039,0.7538301569982969,"STRIPE82-0016",0.4019
"WHLJ003942+004541",9.925419088505686,0.7551013570843017,"STRIPE82-0016",0.4019
"WHLJ003942+004541",9.93007461509179,0.7579344585664697,"STRIPE82-0016",0.4019
"WHLJ003942+004541",9.934964870609415,0.7593739394601074,"STRIPE82-0016",0.4019
"WHLJ003942+004541",9.929458199484266,0.7596077352957294,"STRIPE82-0016",0.4019
"WHLJ003942+004541",9.925022171549745,0.7613615526696943,"STRIPE82-0016",0.4019
"WHLJ003942+004541",9.92478550271897,0.7636524156206546,"STRIPE82-0016",0.4019
"WHLJ003942+004541",9.921414698017648,0.7652091084639444,"STRIPE82-0016",0.4019
"WHLJ003942+004541",9.931274849605797,0.7646993415129423,"STRIPE82-0016",0.4019
"WHLJ003942+004541",9.932652291247674,0.7672996935829821,"STRIPE82-0016",0.4019
"WHLJ003942+004541",9.927141574594392,0.7615364794859946,"STRIPE82-0016",0.4019
"WHLJ003942+004541",9.92370217908797,0.7579986523778396,"STRIPE82-0016",0.4019
"WHLJ004252+004306",10.722067269865098,0.7103345883121363,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.716576106464034,0.7107348488726427,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.720151575025925,0.7115226699385079,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.72026526406315,0.7103109572724313,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.720247078465079,0.7132759630257142,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.72119479550214,0.7140367975661366,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.711708109296318,0.7173738177852365,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.72280338701896,0.712727884486706,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.71927014209671,0.7171393784821195,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.715710874895345,0.7189167475935679,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.720001992117401,0.7176828680628857,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.718113609922028,0.7188546770905078,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.714944521529203,0.7233101965597936,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.71963157613672,0.7184289377500899,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.721207153168642,0.7261083259660097,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.718255462099817,0.7169166369401508,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.720989386220081,0.7253844135381491,"STRIPE82-0018",0.2697
