cluster_name,ra,dec,z,shard,release
A4059,359.25958,-34.76056,0.0487,2.0,dr4
A0957,153.41792,-0.91444,0.0436,2.0,dr4
A2734,2.83625,-28.855,0.0625,2.0,dr4
A4038,356.92999,-28.14139,0.0282,2.0,dr4
A3581,211.86708,-27.01528,0.023,2.0,dr4
A3301,75.19375,-38.67806,0.0536,2.0,dr4
MCXCJ0125.6-0125,21.3878,-1.5069,0.018,3.0,dr4
HCG048,159.4402,-27.0805,0.009,3.0,dr4
A3128,52.55,-52.55,0.0554,3.0,dr4
MCXCJ1253.2-1522,193.31,-15.38,0.0462,3.0,dr4
N56-395,220.277,3.513,0.027,3.0,dr4
A1631,193.201,-15.4332,0.0508,3.0,dr4
WBL074,37.86906369,1.27074125,0.02251,3.0,dr4
A151,17.2248,-15.4166,0.0526,3.0,dr4
A1750,202.80114554,-1.72057952,0.086,3.0,dr4
A4049,357.898,-28.3666,0.0283,3.0,dr4
A3809,326.7157,-43.8819,0.062,3.0,dr4
MCXCJ0108.9-1537,17.2312,-15.6283,0.098,3.0,dr4
NGC3258,157.148,-35.642,0.0093,3.0,dr4
WBL288,162.44134478,0.35171497,0.03899,3.0,dr4
MKW1,150.1337,-2.9573,0.021,3.0,dr4
[YMV2007]3820,201.84586,1.26655,0.082009,3.0,dr4
[YMV2007]49,214.33151,2.34428,0.0551197,3.0,dr4
WBL079,39.44535168,1.64932537,0.02175,3.0,dr4
[YMV2007]4713,214.32782,0.09457,0.0526413,3.0,dr4
A912,150.298,-0.1,0.0888,3.0,dr4
WBL550,227.88442497,1.66216339,0.00673,3.0,dr4
[YMV2007]7604,36.52796,-0.33192,0.0213109,3.0,dr4
[YMV2007]7609,17.09684,0.08978,0.0468803,3.0,dr4
WBL081,39.57169708,2.08227225,0.02192,3.0,dr4
[YMV2007]3748,41.36484,0.91436,0.0243614,3.0,dr4
A301,42.4,-31.1832,0.0223,3.0,dr4
[YMV2007]2116,46.37854,-0.40502,0.0281277,3.0,dr4
[YMV2007]514,24.30365,-0.50432,0.0561178,3.0,dr4
A978,155.123,-6.51682,0.0527,3.0,dr4
[YMV2007]4832,149.95647,-0.22369,0.0914,3.0,dr4
[YMV2007]3102,214.32443,1.15623,0.0535297,3.0,dr4
A2717,0.80042,-35.92722,0.049,4.0,idr5
A2734,2.83625,-28.855,0.0625,4.0,idr5
A133,15.67542,-21.87361,0.0566,4.0,idr5
A151,17.20875,-15.41,0.0533,4.0,idr5
A2877,17.50167,-45.92278,0.0247,4.0,idr5
AS296,41.71466,-42.37802,0.0696,4.0,idr5
A3104,48.5825,-45.42417,0.073,4.0,idr5
A957,153.41792,-0.91444,0.0436,4.0,idr5
A954,153.43668,-0.10861,0.0932,4.0,idr5
A1069,159.935,-8.68361,0.065,4.0,idr5
A1084,161.1375,-7.07278,0.1323,4.0,idr5
A1437,180.10583,3.33361,0.1345,4.0,idr5
A1606,191.15833,-11.98528,0.095,4.0,idr5
A1757,203.425,-23.28389,0.1259,4.0,idr5
MKW8,220.15916,3.47639,0.027,4.0,idr5
A3809,326.74084,-43.91,0.0623,4.0,idr5
AS974,326.98126,-46.00528,0.0596,4.0,idr5
RXCJ2151.0-0736,327.75317,-7.60867,0.276,4.0,idr5
A2402,329.62708,-9.80778,0.0809,4.0,idr5
A2410,330.52457,-9.82444,0.0809,4.0,idr5
A2415,331.41876,-5.59333,0.0581,4.0,idr5
A4059,359.25958,-34.76056,0.0487,4.0,idr5
A3389,95.4475,-64.95972222222223,0.0267,,dr4
A1520,184.8325,-13.26,0.0688,,dr4
A2870,16.927374999999998,-46.908027777777775,0.0242,,dr4
A3565,204.1625,-33.97166666666667,0.0109,,dr4
A3716,312.8195833333333,-52.695277777777775,0.047,,dr4
MZ00407,329.63342687499994,-28.61671480555556,0.02168214,,dr4
A147,17.041666666666664,2.1666666666666665,0.0438,,dr4
Antlia,157.4212320833333,-35.32580777777778,0.011054,,dr4
IIZw108,316.06249999999994,0.7,0.04889,,dr4
