# Tabela de inspeção Cláudia
# Clusters a serem removidos da tabela `catalog_v4_part3+raw.csv`
cluster_name
A2715
A22
A141
A5296
SPTCLJ0310-4646
MCXCJ0320.3-4259
MCXCJ0320.6-4311
A3301
RXJ1027.1-0318
A1648
MACSJ1427.7-2521
A1942
A3718
RXCJ2104.9-5149
RXJ2139.9-4305
A2399
RXCJ2211.7-0350
AS1150
WHYJ235140-255948
A2667
XCLASS287
WHYJ235657-324330
WHYJ235712-323820
