name,clsid,z_cluster,R200_Mpc,peak_spec_m,peak_spec_m_density,peak_photo_m,peak_photo_m_density,z_offset_m,peak_spec_mi,peak_spec_mi_density,peak_photo_mi,peak_photo_mi_density,z_offset_mi,rmse_base_m,rmse_base_mi,rmse_om_m,rmse_om_mi,rel_om_m,rel_om_mi,rmse_omi_m,rmse_omi_mi,rel_omi_m,rel_omi_mi,ra,dec
MKW4,36,0.02,1.040702,0.0204068341708542,45.43214631488903,0.0252351551482412,11.324829571142724,0.0048283209773869,0.0202985276381909,19.121425095331787,0.0250162022788944,11.641855393770026,0.0047176746407035,0.0070549978475859,0.0079004945128167,0.0045965750850851,0.0062156341800736,-0.3484654163774201,-0.2132601104917948,0.0046111744101226,0.006217487021337,-0.3463960571298531,-0.2130255883032844,0,0
A639,109,0.0204,0.985418,0.0211579497487437,4.987814112647982,0.0214214951959798,1.3572714709725937,0.0002635454472361,0.0204256633165829,8.391163879447731,0.0212630505829145,4.6032826110938965,0.0008373872663316,0.0052980689072999,0.0067424644328881,0.0051981416872977,0.0066033532952658,-0.0188610646163021,-0.020632090685394,0.0050216960675646,0.0063279033534824,-0.0521648254431833,-0.061485096960044,0,0
IC1860,52,0.0223,0.908325,0.022433648241206,21.558673121369555,0.0250979390452261,5.102301031840514,0.0026642908040201,0.0223125628140703,11.028975213985122,0.0252115678793969,5.970044265643288,0.0028990050653266,0.0070599462537945,0.0071109676381796,0.0055118375750842,0.0060583428722053,-0.2192805190093656,-0.1480283443173928,0.0054172149126502,0.0060135459255313,-0.2326832644457224,-0.1543280420453741,0,0
WBL074,64,0.02251,0.835953,0.0216374773869346,33.04286845195664,0.0254988223668341,5.801736918621797,0.0038613449798994,0.0222479195979899,15.231877780709702,0.0276768536783919,8.264698603039093,0.005428934080402,0.0097809176186678,0.0089046353389356,0.0074511591951283,0.0074343853915421,-0.2381942588998932,-0.1651106296250892,0.0069088217080547,0.0073503768117731,-0.2936427871687063,-0.1745448823003898,0,0
NGC1132,41,0.0231,0.412966,0.0234477185929648,14.714916438910766,0.026238027763819,1.409789249559572,0.0027903091708542,0.0233462763819095,7.900390809923054,0.0272612045326633,3.637738371853661,0.0039149281507537,0.0088214070214109,0.0094805246820798,0.0072080387916252,0.0087281930512028,-0.1828923918678456,-0.0793554846494008,0.0067775607157071,0.0086638819863753,-0.2316916451925504,-0.086138976806646,0,0
A2870,74,0.023702,0.397745,0.0227869346733668,10.579733070828356,0.0249245229849246,1.758788971044759,0.0021375883115577,0.0225237788944723,6.434859145138262,0.0266509100552763,3.3636310398032863,0.004127131160804,0.0059518869448822,0.0063357732428652,0.005056088359195,0.0051719244133904,-0.1505066534332307,-0.1836948364251168,0.0049595518939013,0.0047428130857083,-0.1667261257094436,-0.2514231643234331,0,0
A2877,17,0.023916,0.678882,0.0234314422110552,10.282443452661829,0.0253124837286432,2.9897309385895983,0.0018810415175879,0.0228737688442211,7.290551128786977,0.0266347056984924,5.351476422352727,0.0037609368542713,0.0053210106402554,0.0053641239719278,0.0046570984018483,0.0046941413248812,-0.1247718306338836,-0.1249006642189514,0.0047051228517995,0.0047297329138316,-0.1157463929495856,-0.1182655474437544,0,0
MKW8,24,0.027,0.992137,0.0277484371859296,71.86055932721935,0.0286542921809045,22.200372730169818,0.0009058549949748,0.0277931758793969,54.95531575805586,0.0284746183065326,24.13082570772677,0.0006814424271356,0.0062857041929368,0.0067381840030416,0.0059763352910826,0.0064984835851574,-0.0492178588680383,-0.0355734449780588,0.0060418079129839,0.0065470137400816,-0.0388017432043588,-0.0283711847099593,0,0
[YMV2007]2116,55,0.027573,1.058839,0.0286595226130653,50.36291426123279,0.0294353399899497,7.615063622068217,0.0007758173768844,0.0385563015075376,25.26183467956849,0.0315929660703517,18.86522727991788,-0.0069633354371859,0.0082463946932067,0.0087672283539453,0.0080736278869136,0.0088046240092613,-0.0209505866164037,0.0042653908175164,0.0121326105236133,0.0111739304740217,0.4712624092087145,0.2745111707958771,0,0
A4049,60,0.029076,0.623738,0.0292256281407035,14.929567243275113,0.0308619631557788,3.653923248827113,0.0016363350150753,0.0290828693467336,8.946822119313067,0.0315275347085427,4.787545597778624,0.002444665361809,0.0044121659150384,0.0055906045655008,0.0040664900818578,0.0053775729189229,-0.0783460640050614,-0.0381052968568881,0.0041309351298986,0.0054534530347717,-0.0637398480825908,-0.0245325043333429,0,0
