ra,dec,mu_max_g,mu_max_r,r_auto,mag_r,cluster,AstroInspectClass
158.475647,-40.209115,18.60742950439453,18.07395362854004,7.623683452606201,,A639,Bom
69.24942894588469,-30.689381206601027,18.521997451782227,17.965425491333008,9.23374366760254,,Fornax,Bom
149.5473538590229,-29.577128781845808,19.714344024658203,19.053123474121094,9.40410041809082,,NGC3256,Bom
60.645376,-59.539617,18.803800582885746,17.893672943115234,9.433823585510254,,MCXCJ0346.1-5702,Bom
199.30323122692005,-0.7093109536925034,17.89235496520996,16.802600860595703,9.634784698486328,,NGC5004,Bom
55.50656991050225,-47.2216985670919,16.883344650268555,15.982563972473145,9.746901512145996,,Fornax,Bom
41.57967853551576,-30.274194645090564,17.39044952392578,16.42330551147461,9.910806655883787,,IC1860,Bom
199.72801258320555,-21.039259823326425,19.22642517089844,18.61096572875977,10.029101371765137,,A3565,Bom
159.7638815331125,-25.8292406370184,20.26897048950196,19.59083747863769,10.591386795043944,,NGC3091,Bom
61.00995639215578,-54.0996794584211,18.127460479736328,17.12301254272461,10.702171325683594,,A3158,Bom
56.13368485289699,-44.64510604929006,19.233627319335938,18.39169311523437,10.729360580444336,,MCXCJ0340-4542,Bom
41.53686565683476,-30.264387568949143,20.327049255371094,19.577468872070312,10.744815826416016,,IC1860,Bom
153.5380794725087,-39.11083011513331,18.000080108642578,17.529226303100586,10.83577823638916,,A639,Bom
224.5947541328973,-1.0900772558712684,18.60961532592773,17.511463165283203,10.927716255187988,,MKW8,Bom
220.04803226157912,-0.289823350983161,18.21920394897461,17.633018493652344,10.98015594482422,,MKW8,Bom
163.04189223235753,-32.953434031370115,19.744428634643555,19.146785736083984,10.98855209350586,,NGC3256,Bom
201.3274444688563,-21.134543837699685,17.239776611328125,16.353357315063477,11.009295463562012,,A3565,Bom
152.980288712414,-34.314463107024785,19.458988189697266,18.92393112182617,11.070295333862305,,NGC3256,Bom
193.649193562948,-12.568554632576522,18.51235008239746,17.583892822265625,11.148467063903809,,NGC5004,Bom
2.484993242025767,-24.963764424887348,19.968475341796875,19.11166381835937,11.204008102416992,,A4038,Bom
73.21740256086986,-59.74195479812037,18.62090110778809,17.81916046142578,11.310985565185549,,A3266,Bom
221.5462342518948,-0.223350474642286,18.003847122192383,17.14545440673828,11.31497287750244,,MKW8,Bom
153.19766902055127,-27.83972690830512,19.57877349853516,19.081439971923828,11.428481101989746,,NGC3256,Bom
161.6385490613579,-15.051606547363772,19.519887924194336,19.37807846069336,11.437400817871094,,NGC3091,Bom
71.37831487300595,-59.22454900620814,19.98590660095215,19.73328399658203,11.447904586791992,,A3266,Bom
41.541035635200025,-30.22838540953758,18.498458862304688,17.721445083618164,11.473413467407228,,IC1860,Bom
55.90404100939429,-35.85286241273394,19.47069549560547,18.68672561645508,11.49443817138672,,Fornax,Bom
150.7987771334099,-26.159175505658983,19.157867431640625,19.106422424316406,11.57120132446289,,NGC3091,Bom
223.48970012596408,3.543529087143715,19.534461975097656,18.31921768188477,11.620990753173828,,MKW8,Bom
18.231995743028605,0.9814924482360567,19.94815444946289,19.25018882751465,11.627113342285156,,A119,Bom
152.3162566074889,-27.88377412152478,17.283939361572266,16.92061996459961,11.650181770324709,,NGC3256,Bom
181.474846,-14.526633,20.07071304321289,19.422027587890625,11.670494079589844,,NGC5004,Bom
356.96520851141656,-30.52183824882621,17.976825714111328,17.142536163330078,11.680910110473633,,A4038,Bom
164.21441413902733,-38.75650344668509,19.686128616333008,18.880586624145508,11.684229850769045,,A639,Bom
26.27046649817612,-43.598662147023006,19.41037368774414,18.55432510375977,11.713375091552734,,A2870,Bom
1.3587185716760732,-38.90491077423698,17.229450225830078,18.15584373474121,11.72064208984375,,A2717,Bom
193.6519773838856,-12.55820348357896,18.005958557128906,17.152774810791016,11.744389533996582,,NGC5004,Bom
159.85382455148812,-27.91248082932677,19.85230255126953,19.25795555114746,12.132036209106444,,NGC3256,Bom
49.25798027878589,-31.39210411349461,19.11470031738281,20.16702651977539,12.464801788330078,,IC1860,Bom
156.94390233125756,-12.782891509348357,19.627309799194336,20.788902282714844,12.950553894042969,,NGC3091,Bom
154.88782858099793,-28.819770040617048,21.66471672058105,20.936729431152344,12.973081588745115,,NGC3256,Bom
155.48254301888164,-26.278300595295,20.614547729492188,20.16961669921875,13.415776252746582,,NGC3091,Bom
163.25984087681218,-26.98462490834302,20.522077560424805,19.112010955810547,13.519964218139648,,NGC3091,Bom
155.37054805606746,-16.345439733746407,18.868179321289062,17.8655948638916,13.53777027130127,,NGC3091,Bom
161.41381923050687,-35.65133326741753,19.256166458129883,18.65143203735352,13.598674774169922,,NGC3256,Bom
53.098540912503296,-39.5151764153836,20.022655487060547,19.19036102294922,13.731290817260742,,A3122,Bom
153.05752386382107,-11.442084464404774,21.01007652282715,20.74818992614746,13.95035171508789,,NGC3091,Bom
38.315776274237926,-31.18498509417256,21.176198959350582,20.66636085510254,14.489925384521484,,IC1860,Bom
186.5039552722215,-14.913581836079723,18.189769744873047,17.380525588989258,14.500161170959473,,NGC5004,Bom
215.68174844508388,-20.244619946048267,19.13974380493164,18.963266372680664,14.576083183288574,,A3581,Bom
353.93883624123845,-30.63633123378033,19.8844051361084,18.74003219604492,15.458312034606934,,A4038,Bom
315.0842031908227,-24.251872540614112,19.13199615478516,18.838321685791016,15.470741271972656,,A3733,Bom
153.85941308753823,-13.535123854139174,19.749135971069336,18.956710815429688,15.713221549987791,,NGC3091,Bom
16.091228663806127,-44.07067973382407,19.964468002319336,19.372488021850582,16.798425674438477,,A2870,Bom
