id,CLS_ID,PID,NAME,RA,DEC,RA_d,DEC_d,EPOC,STATUS,Failed 
39,A0168,STRIPE82,STRIPE82_0031,1:25:02,-0:42:00,21.25833333,-0.7,2000,1,UN,UN,UN,-99,50,True 
40,A0168,STRIPE82,STRIPE82_0032,1:25:02,+00:42:00,21.25833333,0.7,2000,1,UN,UN,UN,-99,86,True 
41,A0194,STRIPE82,STRIPE82_0033,1:30:43,-0:42:00,22.67916667,-0.7,2000,1,UN,UN,UN,-99,50,True 
42,A0194,STRIPE82,STRIPE82_0034,1:30:43,+00:42:00,22.67916667,0.7,2000,1,UN,UN,UN,-99,50,True 
43,A0194,STRIPE82,STRIPE82_0035,1:36:23,-0:42:00,24.09583333,-0.7,2000,1,UN,UN,UN,-99,36,True 
44,A0194,STRIPE82,STRIPE82_0036,1:36:23,+00:42:00,24.09583333,0.7,2000,2,UN,UN,UN,-99,36,True 
45,A0194,STRIPE82,STRIPE82_0037,1:42:03,-0:42:00,25.5125,-0.7,2000,1,UN,UN,UN,-99,36,True 
46,A0194,STRIPE82,STRIPE82_0038,1:42:03,+00:42:00,25.5125,0.7,2000,1,UN,UN,UN,-99,50,True 
47,A0957,SPLUS,SPLUS-n01s02,10:08:36,0:00:00,152.15,0.0,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
48,A0957,SPLUS,SPLUS-n01s03,10:14:02,0:00:00,153.5083333,0.0,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
49,A0957,SPLUS,SPLUS-n01s04,10:19:28,0:00:00,154.8666667,0.0,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
50,A0957,SPLUS,SPLUS-n01s05,10:24:54,0:00:00,156.225,0.0,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
51,A0957,SPLUS,SPLUS-n02s01,10:03:10,-1:21:33,150.7916667,-1.359166667,2000,6,-,two invalidated,1,1,0,False
52,A0957,SPLUS,SPLUS-n02s02,10:08:36,-1:21:33,152.15,-1.359166667,2000,1,ToBeDef,ToBeDef,0,0,0,False 
53,A0957,SPLUS,SPLUS-n02s03,10:14:02,-1:21:33,153.5083333,-1.359166667,2000,4,U F395
54,A0957,SPLUS,SPLUS-n02s04,10:19:28,-1:21:33,154.8666667,-1.359166667,2000,4,ToBeDef,ToBeDef,0,-5,0,False 
55,A0957,SPLUS,SPLUS-n02s05,10:24:54,-1:21:33,156.225,-1.359166667,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
56,A0957,SPLUS,SPLUS-n02n02,10:08:36,+01:21:33.4908,152.15,1.359303,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
57,A0957,SPLUS,SPLUS-n02n03,10:14:02,+01:21:33.4908,153.5083333,1.359303,2000,6,F660,ToBeDef,0,-5,0,False 
58,A0957,SPLUS,SPLUS-n02n04,10:19:28,+01:21:33.4908,154.8666667,1.359303,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
59,A0957,SPLUS,SPLUS-n02n05,10:24:54,+01:21:33.4908,156.225,1.359303,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
