ra,dec,mu_max_r,r_auto,AstroInspectClass
149.5473538590229,-29.577128781845808,19.053123474121094,9.40410041809082,Bom
60.645376,-59.539617,17.893672943115234,9.433823585510254,Bom
55.50656991050225,-47.2216985670919,15.982563972473145,9.746901512145996,Bom
41.57967853551576,-30.274194645090564,16.42330551147461,9.910806655883787,Bom
199.72801258320555,-21.039259823326425,18.61096572875977,10.029101371765137,Bom
159.7638815331125,-25.8292406370184,19.59083747863769,10.591386795043944,Bom
61.00995639215578,-54.0996794584211,17.12301254272461,10.702171325683594,Bom
56.13368485289699,-44.64510604929006,18.39169311523437,10.729360580444336,Bom
41.53686565683476,-30.264387568949143,19.577468872070312,10.744815826416016,Bom
224.5947541328973,-1.0900772558712684,17.511463165283203,10.927716255187988,Bom
153.67493819594915,-28.87148204069814,18.131816864013672,10.970115661621094,Bom
220.04803226157912,-0.289823350983161,17.633018493652344,10.98015594482422,Bom
163.04189223235753,-32.953434031370115,19.146785736083984,10.98855209350586,Bom
201.3274444688563,-21.134543837699685,16.353357315063477,11.009295463562012,Bom
193.649193562948,-12.568554632576522,17.583892822265625,11.148467063903809,Bom
2.484993242025767,-24.963764424887348,19.11166381835937,11.204008102416992,Bom
158.71869564241516,-28.58392573645794,20.83496284484864,11.208807945251465,Bom
151.7235332097178,-40.88015898148988,19.89202690124512,11.264402389526367,Bom
73.21740256086986,-59.74195479812037,17.81916046142578,11.310985565185549,Bom
221.5462342518948,-0.223350474642286,17.14545440673828,11.31497287750244,Bom
153.19766902055127,-27.83972690830512,19.081439971923828,11.428481101989746,Bom
161.6385490613579,-15.051606547363772,19.37807846069336,11.437400817871094,Bom
71.37831487300595,-59.22454900620814,19.73328399658203,11.447904586791992,Bom
41.541035635200025,-30.22838540953758,17.721445083618164,11.473413467407228,Bom
55.90404100939429,-35.85286241273394,18.68672561645508,11.49443817138672,Bom
150.7987771334099,-26.159175505658983,19.106422424316406,11.57120132446289,Bom
223.48970012596408,3.543529087143715,18.31921768188477,11.620990753173828,Bom
18.231995743028605,0.9814924482360567,19.25018882751465,11.627113342285156,Bom
181.474846,-14.526633,19.422027587890625,11.670494079589844,Bom
356.96520851141656,-30.52183824882621,17.142536163330078,11.680910110473633,Bom
26.27046649817612,-43.598662147023006,18.55432510375977,11.713375091552734,Bom
1.3587185716760732,-38.90491077423698,18.15584373474121,11.72064208984375,Bom
193.6519773838856,-12.55820348357896,17.152774810791016,11.744389533996582,Bom
194.02897874018817,-16.946779129310094,17.91704559326172,11.74815273284912,Bom
158.70582659700352,-28.588632633816783,17.713603973388672,11.750713348388672,Bom
41.64170280289339,-0.2473479803999703,18.72602844238281,11.778982162475586,Bom
150.96579746009357,-27.570749078550044,18.50230407714844,11.869275093078612,Bom
71.4548808148367,-59.24940495111582,19.48326873779297,11.871053695678713,Bom
192.73838953635627,-14.33257099216838,17.155838012695312,11.888716697692873,Bom
