name ra dec z
A3395E 96.90417 -54.45000 0.0500
A3396 97.20750 -41.72833 0.1759
PSZ1G224.01-11.14 97.75291 -14.83500 0.6200
RXCJ0631.3-5610 97.83625 -56.17222 0.0540
A3399 99.32875 -48.47833 0.2026
PSZ2G167.67+17.63 99.52632 47.78268 0.1740
AS592 99.69167 -53.97917 0.2216
SPTCLJ0640-5113 100.06450 -51.22040 1.2500
A3402 100.39584 -49.80889 0.1463
A3404 101.37208 -54.21889 0.1670
SPTCLJ0646-6236 101.63917 -62.61361 1.2000
WHYJ064706-265426 101.77673 -26.90734 0.2560
MACSJ0647.7+7015 101.96042 70.24861 0.5907
CIZAJ0649.3+1801 102.34500 18.01667 0.0640
A562 102.98542 69.32389 0.1100
SPTCLJ0655-5234 103.97375 -52.56805 0.4724
Bullet 104.56667 -55.94308 0.2960
ACTJ0707-5522 106.80417 -55.38000 0.4300
MACSJ0712.3+5931 108.08500 59.53889 0.3280
PSZ1G254.45-14.43 108.44083 -43.24250 0.5500
PSZ848 109.04000 5.57611 9.9999
EXSS0713.2+3724 109.16500 37.32444 9.9999
MACSJ0717.5+3745 109.37886 37.75826 0.5458
CIZAJ0719.5+0043 109.89417 0.71861 0.2197
RXJ0720.8+7109 110.22417 71.14917 0.2309
A576 110.35065 55.73887 0.0389
PSZ1G209.8+10.2 110.60750 7.39556 0.6770
PLCKG284.9-23.7 110.80542 -73.45695 0.3900
A578 111.23000 66.97861 0.0866
PSZ2G283.16-22.91 111.74381 -71.62331 0.4500
PSZ2G206.45+13.89 112.49700 11.93960 0.3810
A585 112.70988 40.79350 0.1187
A586 113.09167 31.62972 0.1710
WHYJ073256+314202 113.23446 31.70054 0.1949
PSZ2G204.10+16.51 113.96011 15.09797 0.1220
WHLJ073605+433908 114.02417 43.65222 0.4282
CIZAJ0738.2+0101 114.56917 1.03083 0.1890
UGC3957 115.24292 55.42694 0.0340
ZwCl0735.7+7421 115.43667 74.24778 0.2160
MACSJ0744.9+3927 116.21863 39.45759 0.6976
XCSJ0746.0+3052 116.51500 30.87900 0.2200
ZwCl0743.5+3110 116.65542 31.01361 0.0579
CIZAJ0747.5-1917 116.88500 -19.29222 0.1028
MCXCJ0748.1+1832 117.03958 18.54639 0.0400
PSZ2G218.54+13.26 117.20110 1.13750 0.3270
PSZ2G157.43+30.34 117.23788 59.69498 0.4500
WHLJ075052+500252 117.71833 50.04778 0.4172
WHLJ075053.0+1740 117.72086 17.67676 0.1870
RXCJ0751.1+1743 117.82812 17.65097 0.1870
RXJ0751.3+5012 117.84375 50.21250 0.0220
A598 117.85000 17.51306 0.1894
A602 118.35083 29.36611 0.0619
CIZAJ0757.9-2157 119.48417 -21.96111 0.0490
ZwCl0755.8+5408 119.92834 54.00167 0.1038
WHLJ080013.1+081208 120.05458 8.20222 0.3398
A611 120.23674 36.05654 0.2839
PSZ2G224.82+13.62 120.42340 -4.06510 0.2500
WHLJ080225+390529 120.60708 39.09139 0.3779
CODEX-12451 121.17125 53.42056 0.5950
3C192 121.39582 24.16398 0.0597
A623 121.41209 -0.94389 0.0902
RXJ0807.5+3401 121.87833 34.01139 0.2080
WHLJ080747+394635 121.94708 39.77639 0.3465
CL0809+2811 122.42083 28.19944 0.3990
SDSSC4-3023 122.53550 35.27530 0.0839
ZGXJ081018+482035 122.57328 48.34309 0.5377
GMBCGJ122.576+18.26 122.57584 18.25500 0.4040
CL0810+4216 122.59959 42.27333 0.0640
CIZAJ0812.5-5714 123.12625 -57.23500 0.0620
WHLJ081510+482234 123.79470 48.37608 0.1540
A644 124.35208 -7.51278 0.0704
RXJ0819.6+6336 124.91292 63.61000 0.1190
WHLJ082004+232502 125.01553 23.41731 0.5417
RXJ0821.0+0752 125.26000 7.86306 0.1100
A653 125.46542 1.21167 0.0822
WHLJ082258+041756 125.74542 4.29889 0.0975
ZwCl0820.6+0436 125.79792 4.35611 0.0293
A657 125.83042 15.96250 0.1567
WHLJ082500+042549 126.25078 4.43015 0.2120
A655 126.37109 47.13357 0.1274
MACSJ0825.5+6157 126.41084 61.95806 0.5420
ZwCl0823.2+0425 126.49094 4.24674 0.2251
WHLJ082602+041939 126.51106 4.32763 0.4771
RXJ0826.1+2625 126.52667 26.42972 0.3510
MaxBCGJ126.73+36.4 126.73792 36.11639 0.1432
A667 127.02448 44.76676 0.1454
RXCJ0828.2+4154 127.05917 41.89750 0.2516
A665 127.68831 65.88203 0.1819
WHLJ083339+350622 128.41476 35.10613 0.0539
WHLJ083346+351449 128.44170 35.24698 0.4560
GMBCGJ128.7+39.5 128.69843 39.47180 0.1729
WHLJ083454.9+553421 128.72874 55.57250 0.2687
WHLJ083551+392622 128.96359 39.43933 0.2602
A689 129.35583 14.98306 0.2793
MaxBCGJ129.49+44.2 129.49709 44.24889 0.1459
MCXCJ0838.1+2506 129.54333 25.10056 0.0286
CLJ0838+1948 129.62917 19.80556 0.1230
CODEX-47981 130.00999 8.63306 0.5405
eMACSJ0840.2+4421 130.04076 44.36486 0.7000
WHLJ084114.3+075844 130.30954 7.97879 0.2450
A695 130.31583 32.41000 0.1124
A3411 130.47792 -17.48472 0.1687
ZGXJ084237+361627 130.65395 36.27414 0.7725
MS0839.9+2938 130.73311 29.45750 0.1942
A697 130.73982 36.36646 0.2836
RXCJ0844.9+4258 131.23625 42.98167 0.0541
WHLJ084701+345113 131.75751 34.85361 0.4643
RXJ0847.1+3449 131.79707 34.82111 0.5600
CLJ0848.6+4453 132.20541 44.92944 0.5430
WHLJ085007.1+293252 132.52954 29.54777 0.1162
Z1953 132.53297 36.07046 0.3782
WHLJ085024+001536 132.59972 0.26012 0.1945
HSCJ0850-0009 132.73299 -0.15855 0.8824
PSZ1G171.01+39.44 132.74458 48.50056 0.5225
GMBCGJ132.860+35.97 132.86041 35.97055 0.2647
WHLJ085138.9+333106 132.91196 33.51838 0.3705
MCXCJ0852.5+1618 133.13708 16.30528 0.0980
CL0853+5759 133.30875 57.99417 0.4750
WHLJ085436.6+003833 133.65253 0.64257 0.1216
WHLJ085450-012147 133.70863 -1.36311 0.3532
RXJ085451.0+6219 133.71042 62.31389 0.2870
HSCSJ0855+0147 133.91550 1.78962 0.7196
RXCJ0856.1+3756 134.03542 37.94778 0.4107
WHLJ085620+014649 134.08582 1.78038 0.7241
HSCSJ0856+0144 134.12221 1.74188 0.7103
WHLJ085640+055347 134.16968 5.89649 0.0950
XCLASS1953 134.57500 27.87800 9.9999
WHLJ085820+165825 134.58409 16.97359 0.4173
MCXCJ0858.4+1357 134.60793 13.95667 0.4880
WHLJ085836+541903 134.65221 54.31737 0.0862
WHLJ085845+171003 134.68793 17.16750 0.3225
ZwCl0857.9+2107 135.15791 20.91611 0.2300
WHLJ090108.2+321438 135.28416 32.24389 0.3740
GMBCGJ135.3+18.2 135.34334 18.24222 0.3350
WHLJ090130-013917 135.37785 -1.65484 0.3076
XCCJ0901.6-0154 135.40601 -1.90740 0.3151
WHLJ090139-015852 135.41458 -1.98111 0.2960
WHLJ090155+380952 135.48083 38.16444 0.4788
WHLJ090236.8+520349 135.65334 52.06361 0.1081
WHLJ090302.2+521332 135.75917 52.22556 0.2188
A736 135.79372 52.20200 0.0619
RXJ090533.4+1840 136.38916 18.66945 0.1351
WHLJ090615+163614 136.56497 16.60398 0.2450
WHLJ090631+164522 136.62935 16.75630 0.4391
WHLJ090642+163838 136.67436 16.64395 0.7002
A744 136.84291 16.65667 0.0729
WHLJ090849+143830 137.20583 14.64167 0.4531
WHLJ090851+144551 137.21375 14.76417 0.4433
WHLJ090853+285203 137.22241 28.86751 0.2539
PLCKG214.6+37.0 137.25874 14.66158 0.4500
A750 137.28333 10.99250 0.1751
A754 137.28500 -9.66611 0.0542
MS0906.5+1110 137.30312 10.97475 0.1702
A746 137.32669 51.52425 0.2154
HSCJ0909-0051 137.38113 -0.85945 1.0739
RXCJ0909.9+3106 137.47208 31.10083 0.2660
A761 137.65125 -10.58111 0.0916
RXJ0910+5422 137.68750 54.36889 1.1100
WHLJ091049+385009 137.70750 38.83583 0.5651
MACSJ0911.2+1746 137.79700 17.77554 0.5049
CXOMPJ091126+0550 137.86082 5.83681 0.7682
RXCJ0913.7+4056 138.43956 40.94116 0.4426
WHLJ091452+041555 138.71896 4.26537 0.1432
DLSJ0916+2931 139.00000 29.52611 0.5300
MACSJ0916.1-0023 139.03847 -0.40449 0.3450
WHLJ091615+295005 139.06540 29.83485 0.5360
WHLJ091622+291620 139.09529 29.27240 0.5625
GMBCGJ139.22+52.6 139.21625 52.64111 0.2690
WHLJ091736+284350 139.40205 28.73065 0.4240
A773 139.49747 51.70641 0.2170
A780 139.52708 -12.09333 0.0539
WHLJ091820+302416 139.58369 30.40448 0.1325
LEDA87445 139.61443 -12.37331 0.0575
WHLJ091834.3+295318 139.65022 29.88549 0.3164
PSZ1G295.24-21.55 139.73750 -81.05278 0.6100
A781D 139.89481 30.53358 0.4280
WHLJ091939+370755 139.91611 37.13197 0.1071
A779 139.95500 33.76028 0.0225
RXCJ0920.0+0102 140.00208 1.04000 0.0175
WHLJ092018+370618 140.07832 37.10500 0.2396
A781 140.09679 30.43763 0.2980
A781B 140.22083 30.46667 0.2910
WHLJ092052+294112 140.22212 29.68450 0.2805
A781C 140.29167 30.46417 0.4270
WHLJ092121+031713 140.33792 3.28694 0.3578
WHLJ092127+295800 140.36583 29.96667 0.4196
DLSJ092141+295543 140.42262 29.92860 0.8100
WHLJ092207.6+034558 140.53188 3.76633 0.2800
WHLJ092257+311239 140.74042 31.21000 0.4159
WHYJ092345.2-230909 140.93826 -23.15245 0.3400
A795 141.02208 14.17250 0.1359
WHLJ092545+305900 141.43996 30.98303 0.5865
WHLJ092608+240524 141.53357 24.09004 0.1780
CL0926+1242 141.65292 12.71778 0.5114
WHLJ092642.6+174111 141.67755 17.68634 0.1216
WHLJ092710.6+532731 141.79417 53.45861 0.2052
WHLJ092730+301045 141.87500 30.17917 0.3650
A801 142.01888 20.52920 0.1923
A803 142.30281 12.13074 0.0904
A815 143.03590 29.06782 0.2809
PLCKG227.99+38.11 143.09125 5.68392 0.8100
RXCJ0933.4+3403 143.36292 34.05056 0.0274
eMACSJ0935.1+0614 143.76347 6.24402 0.7500
WHLJ093819.7+520305 144.58192 52.05125 0.3438
PSZ2G181.06+48.47 144.85745 40.75748 0.2350
MACSJ0940.9+0744 145.22377 7.74038 0.3394
SL2SJ09413-1100 145.39458 -11.01500 0.3850
A853 145.56163 15.38090 0.1653
GMBCGJ145.6+47.0 145.62369 47.04222 0.3990
A851 145.74167 46.98667 0.4069
RXCJ0944.6-2633 146.15250 -26.56556 0.1421
A868 146.35167 -8.65417 0.1530
WHLJ094531+094635 146.37949 9.77629 0.2114
RBS797 146.80417 76.38722 0.3540
MACSJ0949.8+1708 147.46585 17.11960 0.3881
WHLJ094958+170824 147.49417 17.14006 0.4124
Z2701 148.20488 51.88484 0.2139
RXCJ0953-1558 148.30042 -15.98111 0.0302
RXCJ0953.6+0142 148.42239 1.70066 0.0986
GMBCGJ148.6+17.6 148.56395 17.59145 0.3816
EISJ0954-2023 148.65416 -20.38194 1.1410
XCLASS1704 148.82500 69.85300 9.9999
A901B 148.98917 -9.98408 0.1600
CL0956+4107 149.01416 41.12056 0.5870
A901A 149.11000 -9.95608 0.1600
WHLJ095737+023426 149.40425 2.57382 0.3700
RXJ0957.8+6534 149.47166 65.57500 0.5300
GMBCGJ149.5+19.3 149.49815 19.26939 0.1054
A907 149.59250 -11.05972 0.1527
WHLJ095824+024916 149.60007 2.82118 0.3400
WHLJ095902.7+025544 149.76125 2.92889 0.3505
WHLJ095904+130524 149.76875 13.09000 0.3959
XCLASS1992 149.92339 2.52502 0.7297
WHLJ095951+014049 149.96413 1.68101 0.3721
PSZ1G264.40+19.49 150.00209 -30.27611 0.2400
NGC3091 150.05954 -19.63696 0.0132
RXJ1000.5+4409 150.12709 44.15445 0.1540
WHLJ100045.5+013926 150.18958 1.65722 0.2200
WHLJ100052+154003 150.21667 15.66750 0.2798
WHLJ100117+285111 150.32292 28.85306 0.0946
CL1002+6858 150.53708 68.97750 0.4934
WHLJ100226+203101 150.61166 20.51694 0.2937
PSZ2G213.30+50.99 150.62971 20.52838 0.3205
ZwCl0959.6+3257 150.66083 32.69944 0.0500
RXJ1002.6-0808 150.66833 -8.14611 0.5240
MaxBCGJ150.6+20.4 150.68706 20.49151 0.2971
RXCJ1003.0+3254 150.76707 32.90778 0.4161
SDSSJ1004+4112 151.14458 41.21250 0.6800
MACSJ1006.9+3200 151.72778 32.02545 0.3989
WHLJ100741+380104 151.92722 38.01295 0.1120
MCXCJ1008.7+5342 152.19917 53.70083 0.8700
MS1006.0+1202 152.19958 11.79250 0.2210
2MASXJ101007+3253 152.52936 32.89139 0.3190
RXJ1011.0+5339 152.77126 53.65750 0.3290
WHLJ101119+533431 152.83057 53.57516 0.3896
CHIPS1011-0505 152.86667 -5.09458 9.9999
PSZ2G262.83+25.77 153.25771 -24.50358 0.1801
MCXCJ1013.5-1350 153.39999 -13.84250 0.1517
RXJ1013.6+4933 153.41000 49.55194 0.1330
A957 153.41792 -0.91444 0.0436
A954 153.43668 -0.10861 0.0932
MOOJ1014+0038 153.53500 0.64056 0.8100
A961 154.09418 33.63472 0.1241
A963 154.30792 39.02528 0.2060
A970 154.34750 -10.67750 0.0587
A959 154.39291 59.56083 0.2850
WHLJ101931+080352 154.88083 8.06444 0.1689
MSPM18 155.41679 23.89990 0.0396
RXCJ1022.0+3830 155.51958 38.51194 0.0491
A980 155.61842 50.10562 0.1582
X-CLASS2208 155.81599 43.99900 0.1050
ZwCl1021.0+0426 155.91513 4.18621 0.2906
RBS865 155.91632 49.14400 0.1414
A3444 155.96167 -27.25861 0.2533
PSZ2G278.79+08.54 156.21330 -47.34080 9.9999
ZwCl1023.3+1257 156.49162 12.68538 0.1434
RXJ1027.1-0318 156.78442 -3.32192 0.0381
SDSSJ1029+2623 157.30208 26.39222 0.5840
PSZ2G272.88+19.14 157.42113 -35.32579 0.0111
MKW2 157.54459 -3.16333 0.0375
RXJ103035.2+5132 157.64667 51.54222 0.5097
WHLJ103101+305143 157.75752 30.86198 0.1432
A1033 157.93471 35.04140 0.1224
A1035 158.03046 40.20921 0.0684
WHLJ103215+401012 158.06375 40.17000 0.0530
WHLJ103344+524855 158.43500 52.81510 0.1310
WHLJ103351+650103 158.46237 65.01751 0.3900
Hydra 159.17416 -27.52444 0.0126
SDSSJ1038+4849 159.67958 48.82167 0.4256
MCXCJ1039.5+3947 159.87683 39.78861 0.0928
PLCKG241.8+51.5 159.91689 5.16102 0.0700
A1069 159.93500 -8.68361 0.0650
A1068 160.18292 39.94806 0.1375
CIZAJ1040.7-7047 160.19749 -70.78694 0.0610
WHLJ104056-010358 160.23500 -1.06611 0.2540
WHLJ104422+213035 161.09250 21.50972 0.4703
WHLJ104429+214104 161.12433 21.68455 0.6396
A1084 161.13750 -7.07278 0.1323
WHLJ104513.5+580834 161.30615 58.14266 0.1216
RXJ1045+0420 161.45210 4.34240 0.1540
A1095 161.87083 15.23389 0.2108
WHLJ104740.7+590702 161.91959 59.11722 0.3531
WHLJ104800+151605 162.00208 15.26806 0.2214
CIGJ104804+313843 162.01529 31.64525 0.7500
WHLJ104809+312830 162.03653 31.47526 0.1189
DLSJ104821-041401 162.09071 -4.23370 0.2200
WHLJ104847+591945 162.19624 59.32942 0.2080
XCLASS1125 162.40199 -13.96800 0.3600
NGC3411 162.61029 -12.84461 0.0153
RXJ1050.5-0236 162.65218 -2.60451 0.1805
SDSSJ1050+0017 162.66624 0.28531 0.5930
XCLASS1126 162.69701 -14.17100 0.5300
WHLJ105200+103406 163.04164 10.56828 0.2201
WHLJ105248+104132 163.20099 10.69211 0.1050
PLCKG212.5+63.2 163.21973 24.23337 0.5250
RXCJ1053.7+5452 163.40250 54.86806 0.0720
RXJ1053.7+5735 163.41583 57.58833 1.1400
DLSJ1054-0549 163.56168 -5.81389 0.1900
RMJ1054+1439 163.57309 14.65117 0.3002
SHK-1 163.77292 40.45528 0.1170
XCLASS2025 163.79832 -5.07111 0.6800
RCS2J1055-0459 163.89809 -4.99087 0.6090
BLOXJ1056-0335 164.10417 -3.58778 0.5802
WHLJ105656+065917 164.23470 6.98817 0.2961
MS1054.4-0321 164.23584 -3.62667 0.8342
CL1058+0137 164.54578 1.60458 0.0395
A1132 164.60750 56.79167 0.1363
WHLJ105947+085036 164.94508 8.84341 0.3948
GMBCGJ165.03+02.04 165.03085 2.04798 0.4005
A1142 165.20375 10.55972 0.0349
WHLJ110106+110404 165.27824 11.06771 0.4879
WHLJ110244+223715 165.68417 22.62097 0.2512
CL1103.6+3555 165.90459 35.92167 0.7800
CL1103.7-1245 165.93083 -12.75947 0.9600
A1156 166.23167 47.42083 0.2152
MACSJ1105.7-1014 166.44333 -10.24361 0.4660
WHLJ110608.5+333339 166.53542 33.56083 0.4936
WHLJ110722+255152 166.84303 25.86442 0.1864
RCS1107.3-0523 166.84500 -5.39694 0.7350
WHLJ110833+254636 167.13693 25.77689 0.2026
MACSJ1108.8+0906 167.23083 9.09750 0.4490
WHLJ110953+482708 167.47501 48.45128 0.5100
SDSSJ1110+6459 167.57375 64.99661 0.6590
A1185 167.69501 28.70611 0.0325
WHLJ111108+483522 167.78371 48.58933 0.4768
WHLJ111110+665002 167.79280 66.83390 0.1486
A1190 167.91042 40.84250 0.0751
WHLJ111247+023011 168.19809 2.50299 0.2681
A1201 168.22874 13.44472 0.1688
CLJ1113.1-2615 168.27167 -26.25722 0.7250
WHLJ111310.6+235639 168.29292 23.94472 0.3238
A1204 168.33542 17.59473 0.1698
A1205 168.33624 2.53222 0.0754
RXCJ1114.1-3811 168.55000 -38.18917 0.1290
3C254 168.66583 40.62639 0.2020
MACSJ1115.2+5320 168.81166 53.33194 0.4660
MACSJ1115.8+0129 168.96667 1.49861 0.3520
J111657+174956 169.24231 17.83243 0.4390
WHLJ111725+074329 169.35417 7.72472 0.4601
WHLJ111729+074624 169.37340 7.77326 0.1592
CL1117+1744 169.37541 17.74833 0.5210
RXJ1119+0900 169.78725 9.00634 0.3350
RXJ1119.7+2126 169.93208 21.44444 0.0610
LCDCS0258 169.98058 -12.04180 0.4794
RXJ1120.1+4318 170.03073 43.30199 0.6074
RXJ1120.9+2326 170.24126 23.44472 0.5620
RXCJ1121.7+0249 170.42792 2.81833 0.0468
RXCJ1122.2+6712 170.56042 67.21289 0.0550
HCG51 170.58458 24.31667 0.0258
A1235 170.81667 19.59667 0.1042
PSZ1G288.27+11.71 170.83850 -48.63160 9.9999
A1240 170.90714 43.05779 0.1947
PSZ2G224.00+69.33 170.98625 21.48639 0.1990
WHLJ112448+552527 171.19917 55.42417 0.2503
WARPJ1125.3+3854 171.34917 38.90083 0.5477
WHLJ112825+235303 172.10506 23.88419 0.1405
RXCJ1130.0+3637 172.50751 36.63028 0.0600
A1285 172.58125 -14.58306 0.1061
WHLJ113025+054411 172.60422 5.73652 0.3280
XCLASS50 172.81100 -19.93300 0.4600
A1290 172.84334 33.58167 0.2212
A1300 172.97667 -19.92833 0.3072
RBS996 173.22083 14.46889 0.0834
MACSJ1133.2+5008 173.30499 50.14444 0.3890
A1302 173.31958 66.37861 0.1165
A1314 173.71042 49.05778 0.0335
PSZ2G279.8+39.1W 173.83952 -20.33195 0.2900
PSZ2G279.8+39.1E 173.92525 -20.35072 0.2900
A1319 173.97470 40.02555 0.2917
WHLJ113623+071337 174.09882 7.22709 0.1030
WHLJ113638+154000 174.15791 15.66667 0.2232
HCG57 174.45833 21.99778 0.0299
WHLJ113808.9+275431 174.53729 27.90854 0.4470
MCXCJ1138.7+0315 174.68292 3.26056 0.1270
MS1137.5+6625 175.09584 66.13667 0.7903
PSZ2G261.88+62.85 175.33565 5.70941 0.0974
RXCJ1141.4-1216 175.35126 -12.27222 0.1195
WHLJ114207+100858 175.53084 10.14933 0.1185
WHLJ114215+102649 175.56371 10.44705 0.1180
A1351 175.62917 58.53917 0.3224
SDSSJ1142.8+1527 175.69041 15.45778 1.1200
A1361 175.93791 46.35583 0.1171
WHLJ114406.8+054754 176.02840 5.79820 0.1027
eMACSJ1144.2+2836 176.04167 -28.58556 0.5012
A1367 176.15208 19.75889 0.0220
A3490 176.32957 -34.42861 0.0688
RXJ1146.7+0952 176.69749 9.87667 0.2210
MACSJ1147.3-1252 176.82083 -12.86806 0.5800
RXCJ1147.3+5544 177.00317 55.76155 0.0512
1RXSJ114804.1+5654 177.01584 56.90722 0.1050
WHLJ114820.4+102108 177.08517 10.35230 0.1135
WHLJ114853.9+111438 177.22444 11.24394 0.1150
A1388 177.24684 22.38870 0.1648
WHLJ114903+013006 177.26500 1.50167 0.2371
PSZ2G228.16+75.20 177.39870 22.39850 0.5453
A1391 177.44917 -12.31778 0.1527
MaxBCGJ177.7+54.9 177.67741 54.94387 0.2431
PSZ2G286.98+32.90 177.70500 -28.07681 0.3900
ZwCl1148.6+5523 177.80826 55.10528 0.0579
SDSSJ1152+3313 178.00081 33.22836 0.3300
SDSSJ1152+0930 178.19749 9.50389 0.4970
GMBCGJ178.26+01.04 178.26067 1.04055 0.4001
WHLJ115344.9+675400 178.43719 67.90016 0.2574
A1413 178.82501 23.40495 0.1389
WHLJ115538+193137 178.90916 19.52694 0.4240
HSCJ1156-0038 179.22076 -0.63540 0.8123
A1423 179.32217 33.61094 0.2164
WHLJ115821.9+123439 179.59125 12.57750 0.2755
GMBCGJ179.6+26.3 179.59607 26.33227 0.1135
WHLJ115824+440532 179.60075 44.09142 0.4086
WHLJ115825+262952 179.60750 26.49778 0.1230
WHLJ115921+494734 179.84084 49.79278 0.3461
PLCKESZG143.2+65 179.88680 49.78536 0.2110
MCXCJ1159.8+5531 179.96413 55.53364 0.0810
A3497 180.02083 -31.40583 0.0677
XCLASS2305 180.05701 -20.04700 0.6700
A1437 180.10583 3.33361 0.1345
WHJ120046.3+483438 180.19286 48.57716 0.2772
2MASXJ120053+4800 180.22479 48.00211 0.2520
WHLJ120105+313828 180.27251 31.64111 0.3304
PSZ2G292.56+21.97 180.30005 -39.88368 0.3000
WHLJ120117+475004 180.32095 47.83442 0.2809
A1443 180.36555 23.08830 0.2700
A1446 180.51588 58.03561 0.1032
CL1202+5751 180.55708 57.86472 0.6770
A1448 180.72626 -6.83528 0.1243
A1451 180.82083 -21.52278 0.1711
MKW4 180.99054 1.88829 0.0200
WHLJ120358+012532 180.99167 1.42556 0.4137
NGC4065 181.03958 20.22167 0.0235
MCXCJ1204.1+2020 181.04832 20.34806 0.0252
RBS1066 181.29333 39.34667 0.0370
WHLJ120537+581222 181.40642 58.20614 0.2971
RXJ1205.9+4429 181.46410 44.48600 0.5915
MACSJ1206.2-0847 181.55083 -8.80028 0.4400
RXJ1206.5-0744 181.63959 -7.74111 0.0680
MCXCJ1206.6+2811 181.65582 28.18361 0.0283
ZGXJ120700-073951 181.74829 -7.66426 0.8403
WHLJ120735.9+525459 181.89958 52.91639 0.2658
NRGb184 182.00417 25.25361 0.0224
PSZ1G213.37+80.60 182.32834 26.68361 0.5327
ClGJ120959+495352 182.49562 49.89778 0.9020
ZwCl1207.5+0542 182.58290 5.37360 0.0770
AS689 182.77821 -46.67821 0.0320
WHLJ121115+391137 182.81375 39.19361 0.3411
PSZ2G207.88+81.31 183.07709 27.54861 0.3464
RXCJ1212.3-1816 183.07875 -18.27861 0.2690
WHLJ121256+272657 183.23418 27.44917 0.1748
RXCJ1213.3-2617 183.34625 -26.30222 0.2780
CL1213+0253 183.39371 2.89887 0.4096
RXCJ121510.9+073205 183.79584 7.53472 0.2270
RXCJ1215.4-3900 183.87083 -39.01528 0.1190
CL1216+2633 184.08452 26.55303 0.4317
CL1216-1201 184.18875 -12.02156 0.7943
ZwCl1215.1+0400 184.41917 3.66250 0.0750
MACSJ1218.4+4012 184.61003 40.22466 0.3057
PSZ1G135.24+65.43 184.77721 50.91310 0.5271
ZwCl1217.1-0301 184.91690 -3.29418 0.3022
RXJ1221.4+4918 185.35208 49.30361 0.7000
CL1222+2709 185.50751 27.15944 0.4758
NGC4325 185.77785 10.62119 0.0257
RXCJ1225.2+3213 186.30000 32.22917 0.0594
PSZ1G298.56+13.53 186.36375 -49.11500 0.6400
WHLJ122529+004334 186.36562 0.70993 0.2369
GMBCGJ186.45+18.98 186.44737 18.97844 0.2720
MACSJ1226.8+2153 186.71292 21.83111 0.4182
WHLJ122657.4+3343 186.73906 33.72603 0.4997
CLJ1226.9+3332 186.74167 33.54836 0.8900
A1550 187.26057 47.62238 0.2588
PSZ2G283.91+73.87 187.55498 11.79646 0.0852
XMMUJ1230.3+1339 187.57083 13.65028 0.9750
A1553 187.69583 10.56056 0.1652
Virgo 187.70770 12.39227 0.0035
WHLJ123143+413734 187.93291 41.62609 0.1737
WHLJ123353.0+151141 188.47087 15.19464 0.2843
MCXCJ1233.9+1525 188.48042 15.43278 0.2380
RXCJ1234.2+0947 188.56667 9.78361 0.2290
WHLJ123425+151938 188.60793 15.32722 0.3078
NGC4555 188.92157 26.52312 0.0223
XCLASS2012 188.99699 -33.88300 0.0820
A1569 189.03394 16.64143 0.0775
ZwCl1234.0+02916 189.08749 28.99139 0.2430
AS700 189.18625 -33.90278 0.0796
WHLJ123656+191135 189.23601 19.19301 0.2242
A1576 189.24583 63.19056 0.2790
WHLJ123821+092606 189.59058 9.43500 0.3960
WHLJ123841+092832 189.67291 9.47578 0.2299
A1589 190.39912 18.59261 0.0725
NGC4636 190.70763 2.68778 0.0031
XMMXCSJ1243.0+0233 190.77167 2.55358 0.1900
XDCPJ1243.2+1313 190.83083 13.21556 0.7948
WHLJ124401+165344 191.00667 16.89500 0.3120
A1606 191.15833 -11.98528 0.0950
WHLJ124622+262717 191.59111 26.45468 0.0867
WHLJ124651+001749 191.71333 0.29694 0.1065
A1612 191.97337 -2.80733 0.1826
Centaurus 192.19958 -41.30778 0.0114
A1622 192.38525 49.89560 0.2828
1RXSJ125029.7-370220 192.62375 -37.03889 0.1963
MCXCJ1252.0-2920 193.02196 -29.34455 0.1880
WHLJ125221+052300 193.08917 5.38333 0.4211
RXJ1252.5-3116 193.14209 -31.26778 0.0535
RDCS1252-2927 193.22667 -29.45472 1.2370
NGC4759 193.27292 -9.20028 0.0147
RXCJ1253.6-3931 193.42041 -39.53194 0.1794
A3528B 193.59792 -29.02278 0.0530
A3528A 193.67250 -29.22333 0.0530
A3530 193.89375 -30.33056 0.0537
NSCJ125556+620905 193.99495 62.14677 0.1081
RXJ1256.0+2556 194.02042 25.94778 0.2320
ZwCl1253.9+0455 194.11041 4.67000 0.2300
RXCJ1256.9-3119 194.24918 -31.32194 0.0561
RXJ1257.0+4738 194.26292 47.63222 0.8660
A1644 194.29042 -17.40028 0.0473
A3532 194.32042 -30.37694 0.0554
A1650 194.67125 -1.75694 0.0838
A1648 194.70750 -26.66750 0.0760
A1651 194.83958 -4.19472 0.0850
GMBCGJ194.9+60.1 194.92302 60.05151 0.3465
Coma 194.95305 27.98069 0.0231
MCXCJ1259.8+3120 194.96249 31.34667 0.0523
RXCJ1301.6-0650 195.40125 -6.83333 0.0898
WHLJ130141+265900 195.42180 26.98332 0.6423
WHLJ130240+672841 195.66803 67.47801 0.1162
A1663 195.71124 -2.50611 0.0843
A1674 195.88315 67.49867 0.1066
WHLJ130331+672638 195.88458 67.44528 0.4368
A1664 195.92410 -24.21820 0.1283
A1668 195.94414 19.27152 0.0639
NGC4936 196.07039 -30.52626 0.0104
WHLJ130526+181112 196.36041 18.18667 0.4535
ZGXJ130527+673453 196.36053 67.58142 0.4040
AS721 196.47708 -37.66139 0.0490
A1677 196.47792 30.90639 0.1832
Z5699 196.49541 26.51345 0.3080
WHYJ130612-293318 196.55090 -29.55515 0.0680
