name ra dec z
MCXCJ0111.6-3811 17.90250 -38.18667 0.1458
A160 18.24833 15.49139 0.0426
WHLJ011425+002932 18.60667 0.49222 0.3400
SPTCLJ0114-4123 18.68120 -41.39680 0.3800
A168 18.73999 0.43080 0.0450
RXCJ0117.8-5455 19.46042 -54.92389 0.2510
A2895 19.54625 -26.97306 0.2270
MS0116.3-0115 19.72339 -1.00391 0.0452
MRC0116+111 19.75708 11.38833 0.1316
WHLJ011934+112106 19.89445 11.35180 0.5225
WHLJ012023-000444 20.09641 -0.07898 0.0780
RXCJ0120.9-1351 20.24542 -13.85861 0.0519
WHLJ012105+034814 20.27300 3.80300 0.3414
PSZ2G132.54-42.16 20.43469 20.13973 0.1940
SPTCLJ0123-4821 20.79583 -48.35806 0.6550
NGC507 20.91628 33.25606 0.0165
WHLJ012349+333922 20.95411 33.65612 0.2524
WHLJ012458+320148 21.24401 32.02988 0.3047
CODEX-59915 21.25500 -5.53139 0.4754
A193 21.26583 8.68806 0.0486
WHLJ012524+321403 21.34987 32.23429 0.2756
A189 21.35292 1.74111 0.0328
A194 21.42000 -1.40722 0.0180
ACTCLJ0127.3+0021 21.81939 0.34469 0.4090
A209 22.97083 -13.60944 0.2060
RXJ0132.6-0804 23.17042 -8.07222 0.1489
PSZ1G295.60-51.95 23.40480 -64.57010 0.3330
PSZ2G140.90-52.52 23.82000 8.79722 0.6187
RXCJ0137.2-0912 24.31417 -9.20278 0.0392
PSZ2G155.27-68.42 24.32800 -8.47820 0.5748
A222 24.37167 -12.98611 0.2130
A223 24.48500 -12.80028 0.2070
A223N 24.50964 -12.75572 0.2050
RXCJ0138.0-2155 24.51583 -21.92528 0.3380
MACSJ0140.0-0555 25.00292 -5.91722 0.4502
A2933 25.17161 -54.55719 0.0925
CL0141-3034 25.38458 -30.57833 0.4420
RXJ0142.0+2131 25.51326 21.51994 0.3873
SPTCLJ0142-5032 25.54583 -50.54000 0.6793
CIZAJ0142.9+4438 25.73917 44.64417 0.3410
WHLJ014429+021232 26.12454 2.21203 0.1660
WHLJ014448-043258 26.20400 -4.55000 0.1700
A2941 26.25958 -53.01389 0.1183
Halls-Lens 26.73333 -9.49789 0.4440
WHYJ014656-384314 26.73510 -38.72074 0.2553
WHLJ014752-093343 26.96708 -9.56194 0.4395
WHLJ014855+130729 27.23012 13.12475 0.2270
MACSJ0150.3-1005 27.58866 -10.09181 0.3634
SPTCLJ0151-5954 27.85708 -59.90805 1.0300
RXCJ0151.6-2900 27.90542 -28.97472 0.1823
ZGXJ015223-140420 28.09398 -14.07233 0.3304
MACSJ0152.5-2852 28.14375 -28.89389 0.3410
MCXCJ0152.6-1358 28.17083 -13.96250 0.8310
XCLASS471 28.17300 -13.64900 0.8300
A267 28.17485 1.00709 0.2327
A262 28.19500 36.15139 0.0174
XCLASS442 28.24100 -14.11400 0.7450
RXCJ0153.5-0118 28.38333 -1.31222 0.2438
MCXCJ0154.2-5937 28.56167 -59.63000 0.3600
ACTCLJ0154.4-0321 28.61210 -3.35552 0.4458
A272 28.82954 33.94470 0.0877
SPTCLJ0156-5541 29.04208 -55.69806 1.2200
NGC741-742 29.08764 5.62894 0.0186
A2955 29.24904 -17.03968 0.0943
A281 29.35125 -5.84000 0.0880
A278 29.35708 32.22389 0.0891
A286 29.61833 -1.78083 0.1603
PSZ2G243.15-73.84 29.76294 -34.23512 0.4100
CL0159+0030 29.82170 0.50344 0.3836
MACSJ0159.8-0849 29.95555 -8.83303 0.4041
NGC777 30.06209 31.42957 0.0167
PSZ2G208.61-74.39 30.06260 -24.90780 0.7200
GMBCGJ030.1+00.7 30.12750 0.74194 0.3448
SPTCLJ0200-4852 30.14083 -48.87194 0.1925
WHLJ020046-064230 30.19225 -6.70830 0.3383
RMJ020119-064947 30.33177 -6.82991 0.3446
A291 30.43417 -2.20083 0.1970
WHLJ020233-073347 30.63760 -7.56292 0.5260
PSZ2G134.64-11.80 30.65277 49.44566 0.2070
WHLJ020342-074706 30.92458 -7.78500 0.4398
WHLJ020444-093145 31.18868 -9.52441 0.6232
SPTCLJ0205-5829 31.44370 -58.48550 1.3220
XLSSC100 31.54900 -6.19300 0.9150
ACTCLJ0206-0114 31.55583 -1.23806 0.6760
XCLASS59 31.95700 2.15600 0.0228
RXJ0210.2-3932 32.55750 -39.54750 0.1680
RXJ0210.4-3929 32.60667 -39.49639 0.3058
A2984 32.85625 -40.28667 0.1042
SPTCLJ0212-4656 33.10792 -46.95000 0.6535
XLSSC099 33.22000 -6.20200 0.3910
WHLJ021322-060556 33.34330 -6.10100 0.7400
WHLJ021408-053531 33.53333 -5.59250 0.4440
A329 33.67125 -4.56333 0.1410
WHLJ021446-035631 33.69355 -3.94187 0.1384
ACTJ0215-5212 33.82500 -52.20833 0.5100
XCLASS345 33.84667 -3.72625 1.0040
ACTCLJ0215.4+0030 33.86875 0.51036 0.8650
CL0216-1747 34.14000 -17.79139 0.5780
AS239 34.17625 -47.82333 0.0635
1RXSJ021649+7036 34.25583 70.60445 0.0655
ACTCLJ0217-5245 34.29583 -52.75556 0.3432
XLSSJ021744-0346 34.43300 -3.76000 1.9100
ACTCL0217.8-0048 34.45084 -0.80422 0.7880
CLJ021801-034433 34.50494 -3.73278 0.7203
WHLJ021805-033923 34.52200 -3.65600 0.2000
ACTCLJ0218.2-0041 34.57000 -0.69494 0.6720
WHLJ021831+003859 34.63263 -0.64975 0.4376
ACTCLJ0219.8+0022 34.95792 0.37361 0.5522
RXCJ0220.9-3829 35.23583 -38.48472 0.2287
WHLJ022133+212157 35.39092 21.36593 0.1844
WHLJ022145-034602 35.44083 -3.76889 0.4290
XLSSC006 35.46413 -3.75348 0.4412
RCS0222+0144 35.66917 1.74222 0.2500
XCLASS1385 35.78400 86.33700 0.1860
ACTCLJ0223.1-0056 35.79167 -0.95247 0.6630
WHLJ022328-085155 35.86761 -8.86541 0.1629
WHYJ022333+425356 35.88948 42.89902 0.3175
XCLASS1955 36.01708 -4.22514 1.0500
RCSJ0224.5-0002 36.12500 -0.03333 0.7730
RXCJ0225.1-2928 36.29375 -29.47389 0.0607
XCLASS54 36.32000 -5.88800 0.0500
SLJ0225.3-0441 36.35208 -4.67833 0.2600
PLCKESZG256.4-65 36.35674 -42.01405 0.2200
WHLJ022544-031233 36.43720 -3.20917 0.1412
HSCSJ022549-0553 36.45542 -5.89617 0.2327
A3017 36.46739 -41.90866 0.2195
PSZ2G138.61-10.84 36.75640 49.08170 0.7020
RzCS768 36.84292 -3.36139 0.3290
XLSSC003 36.90861 -3.29978 0.8378
WHLJ022804-045100 37.01865 -4.84987 0.2871
MCXCJ0228.2-1005 37.05500 -10.09444 0.1490
WHLJ022827-042608 37.11594 -4.43548 0.4330
ACTCLJ0228+0030 37.12667 0.51000 0.7200
WHLJ022832-094920 37.13723 -9.82220 0.3748
WHLJ022857+313444 37.23981 31.57886 0.4303
RXCJ0229.3-3332 37.34292 -33.53778 0.0792
XCLASS1218 37.44100 -29.63200 0.0610
HSCJ0230-0626 37.58482 -6.43386 1.0880
CL0230+1836 37.61083 18.60611 0.7990
SPTCLJ0230-6028 37.64100 -60.46940 0.7400
SPTCLJ0231-5403 37.77700 -54.06400 0.5855
A362 37.94708 -4.85583 0.1843
SPTCLJ0232-4421 38.07787 -44.34486 0.2836
ACTJ0232-5257 38.18750 -52.95222 0.5900
SPTCLJ0233-5819 38.25610 -58.32690 0.6630
XCLASS2254 38.25800 -71.27300 0.5500
WHLJ023317+201245 38.32100 20.21241 0.1721
WHLJ023347-085057 38.44667 -8.84917 0.2600
SPTCLJ0234-5831 38.67000 -58.52000 0.4150
ACTJ0235-5121 38.94667 -51.35167 0.2780
RXJ0236.0-5224 39.02083 -52.41889 0.5900
ACTJ0237-4939 39.26250 -49.65750 0.4000
2PIGG-1571 39.26804 -25.39286 0.0568
A368 39.37167 -26.50472 0.2200
A3038 39.50625 -52.40278 0.1350
WHLJ023941-012812 39.92365 -1.46989 0.3246
A370 39.96038 -1.58561 0.3750
ACTCLJ0240.0+0116 40.00708 1.26844 0.6200
SPTCLJ0240-5946 40.16200 -59.77030 0.4000
ACTCLJ0241.2-0018 40.31417 -0.31139 0.6840
A3041 40.33708 -28.65750 0.2352
MACSJ0242.5-213 40.64958 -21.54056 0.3140
SPTCLJ0243-5930 40.86167 -59.51333 0.6500
SPTCLJ0243-4833 40.91000 -48.55700 0.5300
MCXCJ0244.1-2611 41.02625 -26.18528 0.1362
AS295 41.37125 -53.02361 0.3000
CLJ0245+0936 41.44042 9.61000 0.1470
A376 41.51083 36.88778 0.0488
A3048 41.52172 -20.47394 0.3085
PLCKG205.0-63.0 41.60750 -20.55469 0.3100
AS296 41.71466 -42.37802 0.0696
A383 42.01413 -3.52923 0.1898
ACTCLJ0248.2+0238 42.05000 2.63417 0.5568
A384 42.06792 -2.27889 0.2360
IC1860 42.40375 -31.18861 0.0223
XCLASS514 42.52800 -31.06800 0.9100
SPTCLJ0252-4824 43.21208 -48.41500 0.4207
NGC1132 43.21630 -1.27470 0.0231
PSZ2G277.76-51.74 43.59620 -58.96360 0.4400
SPTCLJ0254-6051 43.60150 -60.86430 0.4400
CIZAJ0254.4+4134 43.62292 41.57167 0.0172
MCXCJ0255.8+0918 43.96375 9.31333 0.0258
PLCKG147.3-16.6 44.09900 40.29100 0.6400
SPTCLJ0256-5617 44.10083 -56.29722 0.6300
ACTCLJ0256.5+0006 44.12833 0.10083 0.3600
MACSJ0257-2325 44.28813 -23.43495 0.5049
SPTCLJ0257-5732 44.35160 -57.54230 0.4340
A400 44.41208 6.00611 0.0244
A402 44.42125 -22.15500 0.3224
A399 44.48508 13.01644 0.0718
WHYJ025829-090517 44.62101 -9.08810 0.1904
WHLJ025847+001218 44.69412 0.20512 0.2589
A3074 44.73417 -52.71722 0.0730
A401 44.73958 13.57944 0.0737
WHLJ025932+001354 44.88542 0.23167 0.2007
CIZAJ0300.7+4427 45.18750 44.46306 0.0300
RBS380 45.28125 -47.10695 0.5150
Z808 45.40917 1.92083 0.1934
A407 45.45583 35.83500 0.0462
CL0302-0423 45.58875 -4.39139 0.3500
RXCJ0303.7-7752 45.94333 -77.86916 0.2742
A3084 46.03000 -36.94333 0.0977
ACTJ0304-4921 46.06250 -49.36167 0.4700
SPTCLJ0304-4401 46.06400 -44.03000 0.5200
MCXCJ0305.3+1728 46.32583 17.47333 0.4250
CL0302+1658 46.38208 17.16750 0.4240
XCLASS500 46.56000 -0.09500 0.4250
WHLJ030617-000824 46.57240 -0.14300 0.1090
MCXCJ0306.4-0943 46.61833 -9.72806 0.0338
A3088 46.76708 -28.67056 0.2534
SPTCLJ0307-6225 46.83333 -62.43361 0.6100
SPTCLJ0307-5042 46.96083 -50.70500 0.5500
MACSJ0308.9+2645 47.23250 26.76028 0.3240
CXO031027-203537 47.61500 -20.59306 0.6916
SPTCLJ0310-4646 47.63375 -46.78500 0.2056
A3094 47.89125 -26.92111 0.0680
WHYJ031221+183929 48.08942 18.65816 0.2314
PLCKG171.9-40.6 48.23083 8.38056 0.2700
SPTCLJ0313-5334 48.48090 -53.57810 1.3700
A3104 48.58250 -45.42417 0.0730
SPTCLJ0317-5935 49.32080 -59.58560 0.4690
A3112 49.49375 -44.23889 0.0753
CL0318-0302 49.63917 -3.04889 0.3700
MOOJ0319-0025 49.85667 -0.42222 1.1940
Perseus 49.94667 41.51306 0.0179
MCXCJ0320.3-4259 50.07542 -42.98694 0.1580
ACTCLJ0320.4+0032 50.12417 0.53139 0.3561
MCXCJ0320.6-4311 50.15750 -43.19778 0.1490
WHLJ032111+002620 50.29667 0.43889 0.3561
A3120 50.48750 -51.32583 0.0690
A3122 50.57625 -41.33889 0.0643
1RXSJ0324.0+2421 51.00750 24.35861 9.9999
SPTCLJ0324-6236 51.05292 -62.60167 0.7400
WHYJ032447-290521 51.19815 -29.08926 0.1922
Mrk609 51.35061 -6.13301 0.0341
