###################################################
# objetos de A119 e A168 inspecionados por Angela #
###################################################
ra,dec
18.775,0.350278
18.609284,0.534474
18.406612,0.423736
18.910833,0.098722
18.35637,0.1944
19.01139,0.05871
18.363404,0.152486
19.304583,1.157111
17.366515,0.732838
16.330585,-1.011894
14.075417,-1.173611
14.04676,-1.12706
14.235716,-1.212044
14.165055,-1.0785
14.617846,-0.660599
#######################################################
# objetos para excluir MKW4 inspecionados por Claudia #
#######################################################
178.793275,-7.843665
178.656852,-7.756566
179.5094234316369,-8.021027353959923
179.49433972781603,-8.026952463233687
179.48678128379063,-8.018949619080741
179.4777341542665,-8.010195354826717
179.16699715765486,-8.165764899068236
179.1632154461083,-8.159448201186011
179.13560394424923,-8.155497829397651
179.81097390171945,-8.041522978212464
179.8398282248665,-7.422206817284656
178.86447725711284,-8.10522711392492
178.60261967283566,-7.897565421087307
179.39090090659082,-7.602542543731412
178.92951452792815,-7.429233201216196
181.04327345034184,-4.616077099299892
180.1746806870092,-4.787746458661853
180.60073142637245,-4.309696852794782
180.6149718223551,-4.301800445368482
181.38845891739507,-4.5709489204683385
181.19023438527623,-4.587718291302321
181.1893312481904,-4.577789588833441
181.3744662550327,-4.287920431954695
181.3660698348264,-4.264794875787957
181.36223888771408,-4.26573437433815
181.14547254412813,-4.170409860497288
181.2708356805392,-3.8698867812191504
183.2471932047999,-3.3630800113555184
183.2613757833404,-3.3562362347836805
181.95758987159533,-3.158020450139828
182.86698568469623,-3.387744824306602
183.061270500872,-2.885366210900288
183.15698945234013,-2.721821034566881
182.5046468700021,-3.070503942757171
182.3145007227428,-3.0850564960760054
182.7471034372836,-2.8148985417742853
182.71134037346425,-2.789085690833105
176.73648053855433,-3.369012136275166
176.56821728093624,-3.1900214668298457
177.60260932585268,-3.0040222617634686
176.57772866495804,-2.928184408823886
177.3468195485099,-2.7450571752661865
180.11405414799862,-4.549703408957424
180.0131555519313,-3.920146318127183
180.26349671811823,-3.825295135497906
180.02473153668802,-3.795562648946581
180.3769772801461,-3.9013603893282434
181.1183265680905,-3.805720334942688
181.17772176850065,-3.5518479123357296
180.37569321587785,-3.79961878017361
180.37902381400409,-3.621969653759131
180.8461200808129,-3.3959961598697133
180.7655975553307,-3.1557512989037906
178.82099492626472,-3.422012461222445
179.938375426468,-3.395698943816549
179.88411141752718,-3.115430009366801
179.89146783343074,-3.111828529376526
179.46835202832054,-2.873031452415124
180.22796369463828,-2.64151248498537
179.8475162771388,-2.798444773311405
181.536186409576,-2.952584209550368
181.5332311282089,-2.9496382693586067
181.5424005042886,-2.946247397643306
181.76148197763112,-2.7527780633847643
180.8828547197815,-2.9265736787315824
181.6037754915875,-2.793574021408092
182.06887863971653,-2.5640061860277465
182.02198772799343,-2.533154986210876
182.4206383379483,-2.573657533340921
182.53472687048463,-2.1686015808162376
182.47411999302844,-2.140910512366508
181.60527467367683,-2.5090830671804927
181.9400031173868,-2.1422797033347
181.12189158637688,-2.567131110691435
181.2055610374109,-2.379009722636338
181.1992528365448,-2.367759937676507
180.7893009988112,-2.4321765163311406
180.4960769924726,-2.0713262342483296
180.6831348854396,-2.026891378094535
181.4265947247404,-2.119247237979547
181.74551205618093,-2.037127021345106
181.88183188745185,-1.920229496220233
181.720739520641,-1.749992639895885
180.83442049270653,-1.822948979592759
181.1450132917492,-1.663129506907139
181.5119690488495,-1.658794037724216
181.37858370039908,-1.3683884375476003
178.62610552149872,-3.41616693990643
179.05929950455862,-2.878039346291592
178.90049645249164,-2.841310071357343
178.7143364123639,-2.8701341162276868
179.2684585024636,-2.435810404770755
179.6113759948023,-2.626232210585409
179.88509524285212,-2.432330440399112
179.73922487861572,-2.3660196932729325
179.74535135678815,-2.3335046687687964
178.81058627424278,-2.5645370415323683
178.93126420350646,-2.401717435294461
177.82215002776346,-2.4793644450506584
178.07607012633216,-2.321550948763104
177.57219386884856,-2.5199399383004746
177.61015916528666,-2.480257117937969
177.4610129894069,-2.536759031037957
177.6501899344804,-2.4222269947222155
178.60815070328903,-2.142521656699547
179.12439778497688,-1.9155392195519585
179.12977429315924,-1.8845865511326696
178.39127301551187,-1.8861382528570765
178.59489250513445,-1.7291873404404938
178.4684411101806,-1.6285506594716814
180.44311280252708,-1.9930948545682745
180.34229933923012,-1.7908207334308228
180.30151771901865,-1.6278537350001483
180.3757158470628,-1.566400150611272
179.5939863543629,-1.9070878631344548
179.81949487323058,-1.868407353228932
179.7054851528343,-1.8201168747877192
179.7954126222332,-1.7090741964363625
179.67601995344057,-1.7026953758018957
179.78391030695323,-1.6667532379674417
180.09067537835853,-1.3465519245833335
180.7227191370216,-1.4571065263675036
181.2398228592413,-1.2991770093088415
181.19363427994165,-1.2013006696813822
181.0050928271191,-1.0640452458387422
180.28067504362087,-1.180074185469684
180.36594069203065,-1.1089857495731272
180.81341508507035,-0.7784077276390777
179.47418273270807,-1.3860613438153495
179.3862665561205,-1.258010240127908
179.38438437790174,-1.2553738808108057
179.66816857592073,-0.9640099571846088
179.0048942117578,-1.4039996945271835
178.89674263568529,-1.401834542905552
179.00590804879,-1.3766915245233626
178.8953688941768,-0.9777057849614472
180.09157616001687,-1.0999102217576244
179.6567728510609,-0.8414809051872912
179.62887720211847,-0.4244861141029723
179.94722030242588,-0.4662136041053599
179.84791992515932,-0.1818166028856725
187.83566895229683,-2.9614153482191647
187.9937320429925,-2.865055479798752
186.63935178695613,-3.329114329579283
185.2436209773933,-3.262695029075132
185.7704545285781,-3.119166366845273
185.8770410482492,-3.016474456372628
185.8746689989793,-2.9852456159155865
186.00586427872705,-2.8828053444164774
185.23824345141423,-3.2247001759742924
185.022969424902,-2.9346362372992134
186.90838138449084,-3.4074678165834453
187.11116948656644,-3.056550734570605
187.34237010011515,-3.121447296529032
187.2470484648321,-2.877039228336581
187.41433661722485,-2.719510133402951
186.70088035139483,-3.167770221692644
186.5641568241001,-3.180235043665204
186.9256377231393,-2.924180806553125
186.42718566713648,-2.956540211841376
187.12884708084647,-2.7678789825873085
187.98906565640692,-2.4269446622886384
187.53948419314057,-2.3941427679055898
187.2464153329683,-2.4714981903254927
187.391165005644,-2.361658911259819
187.35460063983052,-2.350709302531913
187.72149820258383,-2.2043145632385333
186.3709482649372,-2.594614333351869
186.13049674740748,-2.533420496783965
186.10246350747272,-2.3142544568386825
187.14412888036503,-2.249357158560436
187.24808492912828,-2.139360741391428
187.28988163941816,-2.128547360049133
186.8639386790818,-2.0760754901785345
186.7650709995293,-1.9391060015304329
187.11717336292688,-1.6690213344596656
187.17630831602813,-1.5768106786023302
187.16833089828253,-1.484835475475367
186.92986777796003,-1.4468424549942838
186.6987522875665,-1.5005865572594816
187.1398993143588,-1.313836687551484
184.44402252475297,-3.114978168537377
184.83242869674572,-2.9350938638829702
184.0584931309384,-3.025390121882314
183.72825257289745,-2.9667266604926423
184.2331291125292,-2.720836787749618
184.2923516865424,-2.6224690469738565
184.9661079968089,-2.9164201613307417
184.8278564300033,-2.3836494658007195
184.94120158535307,-2.325278413520034
184.9020558545916,-2.161767226566719
185.07876213332383,-2.033568216844823
183.5252599569617,-2.863393274991267
183.33584022149915,-2.721146314340728
183.6627967034017,-2.446707494696175
183.7824272143283,-2.401623688695221
183.76219503000024,-2.309247204335795
183.22445471657568,-2.439678116321094
183.83455106614863,-1.773418303824637
184.13903779497952,-1.464846026927341
184.33610275129783,-1.3455055876686346
185.55709601032984,-2.034788775530083
185.78684499524377,-1.8367246022992167
185.3361152994789,-2.0360584557809545
185.51718337126448,-1.7759376755742486
185.6502737038176,-1.273102761420151
186.7824881125649,-1.358080193779457
186.54541749896924,-1.3064491690399895
186.55300721090336,-1.2979726096447128
186.46098018518472,-1.1110336427366054
186.12105336953772,-1.3622714821665685
186.06534944004005,-1.232464263176873
185.9129629291849,-1.2093374154824204
185.704106092424,-1.2226785090886283
186.04114300357776,-1.0812210788588483
185.2615389726454,-1.2967191383499153
185.2214502810066,-1.2968625154405962
185.1298235829697,-1.0467436327858466
184.4503513123489,-1.200652284703217
184.3232441813917,-1.1832071338504706
184.90185128522896,-1.143283882778827
185.88690794808883,-0.2336410243679668
187.67154481942487,-1.6508120439942366
187.7577099450245,-1.603458301127292
187.960481625374,-1.358768179882164
187.81441450587872,-1.2264474381560098
187.36088950542177,-1.317816953470165
187.59779934339497,-0.9508253036998364
187.759019253546,-0.6416458099427841
186.9365102838924,-0.9865960637052954
186.9638231952563,-0.7580974808953705
187.82944111728693,-0.446783348922065
187.79564916851007,-0.1608020631795398
188.151614778787,0.1106475595048837
188.1662012629905,0.1113386793869615
188.15492552303704,0.1099375052355338
188.163237645744,0.1132645747246225
188.1494896481973,0.1124466678901772
188.1368833498008,0.109396380797946
187.3459263145836,-0.063838915907396
187.3174507007992,0.0430888168250109
187.4155623996696,0.1303031877953115
187.5097253676683,0.3308365348307739
187.7891035589932,0.5037331738410805
186.5838604917369,-0.1512724649603502
185.96694928573152,-0.2020864444142203
186.1185780518337,0.1487616422831064
186.1065507849064,0.1508622940903241
186.78886710309035,0.2634139161403768
187.38990945388147,0.8405648643939596
187.3797810619915,0.8372481228456081
187.72542944317183,0.6649340993904301
188.14621779120648,1.3747224070376107
188.0578926233445,1.3596455964765055
187.3373268446895,1.0575933745125847
187.56071879608567,1.1074314249003645
187.4844003793359,1.2369903204567865
187.2228934700269,1.1248753014633426
182.7520686980152,-2.2068369660417506
182.8471376814644,-2.1652844303312344
182.4295438591783,-1.917950049046951
182.6449313276049,-1.669909247820758
182.38486474982912,-1.8013599299368528
182.4379439274724,-1.7760861617339712
182.2630926726536,-1.749406384418133
182.241325602734,-1.7480600269709232
182.6407628504184,-1.5581960242201132
182.92168550895656,-1.305935300076012
183.44260880480348,-1.4825644547240635
183.3467857840488,-1.4447035809137927
183.91810547612616,-1.2565925571659888
183.57531118173367,-1.2117674408778918
183.1127757620944,-1.4390884357115528
183.48423565926348,-1.1741163168142037
181.80973266796948,-1.3666930857223465
182.23191862203456,-0.9520559937912522
182.6950147546329,-0.5578090458468142
