Field,n_objects
SPLUS-n17s16,191
SPLUS-n17s17,171
SPLUS-n17s18,83
SPLUS-n18s01,191
SPLUS-n18s02,129
SPLUS-n18s03,106
SPLUS-n18s04,128
SPLUS-n18s05,141
SPLUS-n18s06,137
SPLUS-n18s07,123
SPLUS-n18s08,127
SPLUS-n18s09,179
SPLUS-n18s10,126
SPLUS-n18s11,228
SPLUS-n18s12,259
SPLUS-n18s13,226
SPLUS-n18s14,197
SPLUS-n18s15,178
SPLUS-n18s16,184
SPLUS-n18s17,14
SPLUS-n18s18,158
SPLUS-n18s19,11
SPLUS-n19s01,139
SPLUS-n19s02,199
SPLUS-n19s03,267
SPLUS-n19s04,147
SPLUS-n19s05,140
SPLUS-n19s06,161
SPLUS-n19s07,190
SPLUS-n19s08,137
SPLUS-n19s09,78
SPLUS-n20s01,232
SPLUS-n20s02,177
SPLUS-n20s03,184
SPLUS-n20s04,169
SPLUS-n20s05,108
SPLUS-n20s06,194
SPLUS-n20s07,192
SPLUS-n20s08,168
SPLUS-n20s09,102
