Field,n_objects
HYDRA-0102,130
HYDRA-0103,2
HYDRA-0104,156
HYDRA-0111,304
HYDRA-0112,138
HYDRA-0120,256
HYDRA-0121,321
HYDRA-0129,341
HYDRA-0136,278
HYDRA-0137,437
HYDRA-D-0003,4
HYDRA_0097,47
HYDRA_0098,112
HYDRA_0099,194
HYDRA_0100,146
HYDRA_0101,150
HYDRA_0105,186
HYDRA_0106,273
HYDRA_0107,173
HYDRA_0108,185
HYDRA_0109,213
HYDRA_0110,222
HYDRA_0113,349
HYDRA_0114,259
HYDRA_0115,251
HYDRA_0116,229
HYDRA_0117,209
HYDRA_0118,233
HYDRA_0119,168
HYDRA_0122,363
HYDRA_0123,244
HYDRA_0124,261
HYDRA_0125,256
HYDRA_0126,374
HYDRA_0127,303
HYDRA_0128,216
HYDRA_0130,428
HYDRA_0131,280
HYDRA_0132,270
HYDRA_0133,265
HYDRA_0134,301
HYDRA_0135,326
HYDRA_0138,360
HYDRA_0139,327
HYDRA_0140,266
HYDRA_0141,281
HYDRA_0142,313
HYDRA_0143,518
HYDRA_0144,271
HYDRA_0145,434
HYDRA_0146,327
HYDRA_0147,319
HYDRA_0148,287
HYDRA_0149,336
HYDRA_0150,469
HYDRA_0151,395
HYDRA_0152,548
HYDRA_0153,420
HYDRA_0154,407
HYDRA_0155,407
HYDRA_0156,340
HYDRA_0157,575
HYDRA_0158,517
HYDRA_0159,451
HYDRA_0160,822
HYDRA_0161,592
HYDRA_0162,627
HYDRA_0163,434
HYDRA_0164,496
HYDRA_0165,577
HYDRA_0166,568
HYDRA_0167,582
