# 1) cluster index
# 2) RA (J2000)
# 3) DEC (J2000)
# 4) z_spec
# 5) sigma_cl (km/s) [velocity dispersion]
# 6) sigma_cl lower limit
# 7) sigma_cl upper limit
# 8) R200 (Mpc)
# 9) R200 lower limit
# 10) R200 upper limit
# 11) M200 (10^14 M_solar)
# 12) M200 lower limit
# 13) M200 upper limit
# 14) Nwcls [number of galaxies in the cluster region; maximum of 10 Mpc/h]
# 15) Nmemb [number of member galaxies]
# 16) Nmemb-wR200 [number of member galaxies within R200]
# 17) cluster name
00038 19.723390 -1.003910 0.045200 477.947 -27.913 37.734 0.989478 -0.052919 0.071538 1.150548 -0.184600 0.249549 1170 65 43	MS0116.3-0115
00039 20.096410 -0.078980 0.078000 318.929 -34.296 66.731 0.659785 -0.064973 0.126418 0.351995 -0.103990 0.202333 908 151 14	WHLJ012023-000444
00040 14.076250 -1.216670 0.044200 866.995 -33.321 42.182 1.718391 -0.060479 0.076561 6.020640 -0.635687 0.804734 1092 564 205	A119
00041 43.216300 -1.274700 0.023100 186.323 -15.602 27.097 0.412966 -0.031666 0.054998 0.081936 -0.018849 0.032736 2490 59 13	NGC1132
00043 50.568033 -41.337737 0.064359 633.465 -65.382 107.403 1.259417 -0.119037 0.195542 2.416092 -0.685089 1.125397 286 45 23	A3122
00044 53.505514 -39.007982 0.061788 410.048 -44.321 86.728 0.832733 -0.082425 0.161291 0.696709 -0.206884 0.404834 261 66 12	A3135
00045 54.616250 -35.448330 0.004600 364.743 -21.450 26.328 0.790586 -0.042576 0.052258 0.565251 -0.091323 0.112090 905 382 95	Fornax
00046 55.202283 -45.683911 0.068939 357.528 -50.812 79.567 0.731986 -0.095266 0.149178 0.476462 -0.186031 0.291306 228 17 12	MCXCJ0340-4542
00047 55.724580 -53.635280 0.059700 1062.834 -40.661 52.266 2.054871 -0.071991 0.092537 10.447685 -1.098084 1.411471 1049 168 168	A3158
00048 62.059246 -30.898798 0.060025 511.008 -34.521 54.557 1.041907 -0.064456 0.101867 1.362350 -0.252840 0.399589 244 97 33	A3223
00049 63.487920 -38.100000 0.050100 265.004 -28.346 59.211 0.561454 -0.054995 0.114879 0.211174 -0.062054 0.129624 350 71 12	MCXCJ0413.9-3805
00050 49.491495 -44.246826 0.073605 411.328 -63.191 74.554 0.832698 -0.117147 0.138212 0.704596 -0.297374 0.350849 323 43 13	A3112
00051 154.340896 -10.678699 0.059443 781.741 -36.853 46.913 1.550335 -0.066929 0.085198 4.485761 -0.580962 0.739538 364 149 128	A970
00052 42.403800 -31.188600 0.022300 431.034 -42.585 63.484 0.908325 -0.082179 0.122510 0.871237 -0.236469 0.352522 530 102 36	IC1860
00053 0         0          0        0       0       0      0        0         0        0        0         0        0   0   0  [YMV2007]7609
00054 39.571697 2.082272 0.020890 385.081 -48.230 68.481 0.811901 -0.093121 0.132221 0.621381 -0.213808 0.303582 2049 40 19	WBL081
00055 46.378540 -0.405020 0.027573 508.505 -22.795 28.631 1.058839 -0.043467 0.054595 1.386818 -0.170792 0.214518 2189 384 65	[YMV2007]2116
00057 24.303650 -0.504320 0.056118 159.161 -36.758 40.017 0.348393 -0.073683 0.080215 0.050745 -0.032196 0.035051 626 91 10	[YMV2007]514
00058 155.123000 -6.516820 0.053614 529.118 -55.932 99.783 1.061279 -0.102733 0.183278 1.430985 -0.415564 0.741372 583 20 14	A978
00059 227.884425 1.662163 0.006730 192.188 -12.885 23.876 0.431334 -0.026482 0.049070 0.091976 -0.016941 0.031391 673 229 17	WBL550
00060 357.898000 -28.366600 0.029076 313.123 -251.912 64.029 0.623738 -0.459529 0.116799 0.283884 -0.627441 0.159477 514 53 5	A4049
00061 157.148000 -35.642000 0.008594 638.260 -30.163 47.132 1.316131 -0.056958 0.089000 2.617356 -0.339812 0.530979 1429 75 75	NGC3258
00062 36.527960 -0.331920 0.021058 131.703 -14.721 34.026 0.288291 -0.029509 0.068206 0.027823 -0.008544 0.019748 2298 92 6	[YMV2007]7604
00063 193.201000 -15.433200 0.046426 652.607 -21.956 29.795 1.323191 -0.040766 0.055321 2.754584 -0.254594 0.345497 797 400 184	A1631
00064 37.869064 1.270741 0.022510 392.637 -27.314 36.909 0.835953 -0.053254 0.071962 0.679269 -0.129818 0.175422 2105 529 48	WBL074
