Field,n_objects
SPLUS-n01s01,330
SPLUS-n01s02,44
SPLUS-n02n01,206
SPLUS-n02n02,45
SPLUS-n02s01,322
SPLUS-n02s02,10
SPLUS-n03n01,176
SPLUS-n03n02,26
SPLUS-n03s01,252
SPLUS-n04n01,159
SPLUS-n04s01,100
SPLUS-n05s01,106
