field,n_objects
SPLUS-n15s44_predicted,59489
SPLUS-n15s45_predicted,56024
SPLUS-n15s46_predicted,55651
SPLUS-n15s47_predicted,58776
SPLUS-n15s48_predicted,4471
SPLUS-n16s22_predicted,24716
SPLUS-n16s23_predicted,51984
SPLUS-n16s24_predicted,51595
SPLUS-n16s25_predicted,53342
SPLUS-n16s26_predicted,43535
SPLUS-n16s27_predicted,47973
SPLUS-n16s28_predicted,59679
SPLUS-n16s29_predicted,52970
SPLUS-n16s30_predicted,49939
SPLUS-n16s31_predicted,54736
SPLUS-n16s32_predicted,48661
SPLUS-n16s33_predicted,52392
SPLUS-n16s34_predicted,50206
SPLUS-n16s35_predicted,53538
SPLUS-n16s36_predicted,53836
SPLUS-n16s37_predicted,54368
SPLUS-n16s38_predicted,55162
SPLUS-n16s39_predicted,58283
SPLUS-n16s40_predicted,59562
SPLUS-n16s41_predicted,61505
SPLUS-n16s42_predicted,57315
SPLUS-n16s43_predicted,58916
SPLUS-n16s44_predicted,51668
SPLUS-n16s45_predicted,50868
SPLUS-n16s46_predicted,44857
SPLUS-n17s22_predicted,15064
SPLUS-n17s23_predicted,47627
SPLUS-n17s24_predicted,48062
SPLUS-n17s25_predicted,50574
SPLUS-n17s26_predicted,55623
SPLUS-n17s27_predicted,53407
SPLUS-n17s28_predicted,51790
SPLUS-n17s29_predicted,51376
SPLUS-n17s30_predicted,54465
SPLUS-n17s31_predicted,44553
SPLUS-n17s32_predicted,56800
SPLUS-n17s33_predicted,43306
SPLUS-n17s34_predicted,53782
SPLUS-n17s35_predicted,52482
SPLUS-n17s36_predicted,53904
SPLUS-n17s38_predicted,53235
SPLUS-n17s39_predicted,66446
SPLUS-n17s40_predicted,56736
SPLUS-n17s41_predicted,48233
SPLUS-n17s42_predicted,60180
SPLUS-n17s43_predicted,49039
SPLUS-n17s44_predicted,60325
SPLUS-n17s45_predicted,50230
SPLUS-n17s46_predicted,17950
SPLUS-n18s22_predicted,3033
SPLUS-n18s24_predicted,51234
SPLUS-n18s29_predicted,58119
SPLUS-n18s30_predicted,58472
SPLUS-n18s31_predicted,59913
SPLUS-n18s32_predicted,53626
SPLUS-n18s33_predicted,52726
SPLUS-n18s34_predicted,49385
SPLUS-n18s35_predicted,61957
SPLUS-n18s36_predicted,64832
SPLUS-n18s37_predicted,67699
SPLUS-n18s38_predicted,52669
SPLUS-n18s39_predicted,63221
SPLUS-n18s40_predicted,54448
SPLUS-n18s41_predicted,52175
SPLUS-n18s42_predicted,60558
