ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
214.018517,1.748909,0.055582,1.6e-05,16663.064,4.796679,0.672508,2.604712,234.489,0,0.0008249999999999993
214.9665,2.109783,0.054742,1.7e-05,16411.239,5.096472,0.676407,2.619813,-4.263,0,-1.5000000000001124e-05
214.253894,1.66318,0.055303,1.4e-05,16579.422,4.197094,0.685501,2.655034,155.189,0,0.0005459999999999979
214.12843,1.663032,0.055015,3.6e-05,16493.082,10.792528,0.710824,2.753116,73.331,0,0.0002580000000000013
214.472308,1.639632,0.054545,3.4e-05,16352.18,10.192944,0.718554,2.783053,-60.257,0,-0.0002119999999999969
213.954411,1.719801,0.054063,1.8e-05,16207.68,5.396264,0.729342,2.824837,-197.255,0,-0.0006940000000000002
214.142435,1.628237,0.055911,8e-06,16761.696,2.39834,0.740545,2.868228,328.0,0,0.0011540000000000022
213.866667,1.757611,0.054,0.000333,16188.793,99.830889,0.748263,2.898121,-215.161,0,-0.0007570000000000007
213.863552,1.759376,0.053552,2.9e-05,16054.486,8.693981,0.74882,2.900276,-342.496,0,-0.0012049999999999977
214.128497,1.619001,0.054009,2.6e-05,16191.491,7.794604,0.75311,2.916894,-212.603,0,-0.0007479999999999987
214.094986,1.591203,0.053805,1.1e-05,16130.333,3.297717,0.789288,3.057014,-270.586,0,-0.0009520000000000015
214.52316,3.11151,0.054417,3.4e-05,16313.806,10.192944,0.790766,3.062738,-96.638,0,-0.00034
213.813986,1.731345,0.054012,1.8e-05,16192.39,5.396264,0.801918,3.105932,-211.751,0,-0.0007450000000000026
213.755114,1.775817,0.055198,1.7e-05,16547.944,5.096472,0.809214,3.13419,125.345,0,0.00044099999999999695
215.201944,2.527776,0.054461,1.5e-05,16326.997,4.496887,0.888852,3.442641,-84.132,0,-0.00029599999999999765
214.512943,1.470823,0.054882,1.3e-05,16453.21,3.897302,0.892071,3.455106,35.529,0,0.0001250000000000001
213.763793,1.652325,0.054657,1.1e-05,16385.756,3.297717,0.894743,3.465456,-28.423,0,-0.00010000000000000286
213.656701,1.7385,0.055298,2.1e-05,16577.923,6.295642,0.906408,3.510635,153.768,0,0.0005409999999999998
213.523294,1.904077,0.054885,2.1e-05,16454.109,6.295642,0.919728,3.562225,36.381,0,0.0001280000000000031
213.608848,1.770109,0.054622,4.3e-05,16375.264,12.891076,0.922518,3.573031,-38.371,0,-0.00013500000000000317
213.793423,1.591788,0.054521,2.6e-05,16344.985,7.794604,0.924823,3.58196,-67.078,0,-0.0002360000000000001
213.6633,1.683564,0.053666,1.5e-05,16088.662,4.496887,0.93931,3.63807,-310.094,0,-0.0010910000000000017
214.017743,1.458236,0.053969,1.3e-05,16179.499,3.897302,0.939872,3.640246,-223.972,0,-0.000787999999999997
213.572763,1.769539,0.054479,2.7e-05,16332.393,8.094396,0.951347,3.684691,-79.016,0,-0.00027800000000000047
213.59116,1.740878,0.054154,1.5e-05,16234.961,4.496887,0.954618,3.697359,-171.39,0,-0.0006029999999999994
213.459455,1.954269,0.054483,1.9e-05,16333.592,5.696057,0.954629,3.697402,-77.879,0,-0.0002740000000000034
215.07925,2.967366,0.05581,8e-06,16731.417,2.39834,0.972839,3.767932,299.293,0,0.0010529999999999984
213.452315,1.924421,0.054299,8e-06,16278.431,2.39834,0.973639,3.771029,-130.177,0,-0.0004580000000000001
213.466717,1.894989,0.053937,1.2e-05,16169.906,3.597509,0.973898,3.772035,-233.068,0,-0.0008200000000000013
213.445308,1.933553,0.054791,7e-06,16425.929,2.098547,0.976082,3.780494,9.664,0,3.399999999999931e-05
213.6126,3.028626,0.055652,1e-05,16684.05,2.997925,0.992117,3.842599,254.385,0,0.000895
215.18767,2.847391,0.055736,7e-06,16709.232,2.098547,0.992423,3.843785,278.26,0,0.0009790000000000007
213.479727,1.818331,0.055659,1.1e-05,16686.148,3.297717,1.000471,3.874955,256.374,0,0.000902
214.050008,1.380657,0.054128,7e-06,16227.166,2.098547,1.003833,3.887975,-178.78,0,-0.0006289999999999976
214.278175,1.332105,0.054203,6e-06,16249.651,1.798755,1.013577,3.925715,-157.463,0,-0.0005539999999999989
213.485655,1.783624,0.05457,0.000333,16359.674,99.830889,1.014204,3.928142,-53.151,0,-0.00018699999999999967
214.754389,1.411846,0.055395,6e-06,16607.003,1.798755,1.023699,3.964921,181.338,0,0.0006379999999999997
214.306624,1.301928,0.055673,1.3e-05,16690.346,3.897302,1.042649,4.038314,260.354,0,0.0009160000000000001
215.068774,3.133206,0.054358,1.3e-05,16296.118,3.897302,1.079376,4.180565,-113.407,0,-0.0003990000000000035
213.654535,1.465686,0.053765,1.7e-05,16118.342,5.096472,1.108808,4.294559,-281.955,0,-0.0009919999999999998
214.31268,1.229311,0.05436,8e-06,16296.718,2.39834,1.115128,4.319035,-112.839,0,-0.0003970000000000015
214.324001,1.221564,0.054217,1.7e-05,16253.848,5.096472,1.122741,4.348522,-153.484,0,-0.0005399999999999988
213.41023,1.661367,0.05415,4e-05,16233.762,11.991698,1.146171,4.439268,-172.527,0,-0.0006070000000000034
214.333118,1.17353,0.054393,1.4e-05,16306.611,4.197094,1.170751,4.534472,-103.459,0,-0.0003640000000000032
214.20432,3.509473,0.054657,3e-05,16385.756,8.993774,1.172103,4.539707,-28.423,0,-0.00010000000000000286
214.318639,1.15344,0.054762,1e-05,16417.235,2.997925,1.190909,4.612547,1.421,0,4.9999999999980616e-06
214.383016,1.140847,0.054302,9e-06,16279.33,2.698132,1.204533,4.665313,-129.324,0,-0.0004549999999999971
214.337925,1.131324,0.053801,1.7e-05,16129.134,5.096472,1.212973,4.698002,-271.723,0,-0.0009559999999999985
213.872207,1.207936,0.054469,3.7e-05,16329.395,11.092321,1.225514,4.746574,-81.858,0,-0.00028800000000000353
214.733923,1.184928,0.055428,6e-06,16616.896,1.798755,1.227095,4.752699,190.718,0,0.000670999999999998
214.19557,3.580747,0.054861,1.6e-05,16446.914,4.796679,1.243905,4.817806,29.56,0,0.00010399999999999993
214.23262,3.585813,0.054407,1.2e-05,16310.808,3.597509,1.245459,4.823823,-99.48,0,-0.0003500000000000031
214.03824,3.557221,0.054019,1.1e-05,16194.489,3.297717,1.247834,4.833023,-209.761,0,-0.0007380000000000025
213.920116,3.532615,0.053849,1.8e-05,16143.524,5.396264,1.257419,4.870147,-258.08,0,-0.0009079999999999991
213.717158,3.46557,0.05528,0.00012,16572.527,35.975095,1.278315,4.951079,148.652,0,0.0005230000000000026
213.7163,3.479353,0.055645,1.6e-05,16681.951,4.796679,1.29083,4.999551,252.395,0,0.0008879999999999999
215.638095,2.526707,0.054728,1.7e-05,16407.042,5.096472,1.318176,5.105467,-8.243,0,-2.9000000000001247e-05
213.711496,1.160539,0.053987,1.3e-05,16184.895,3.897302,1.336045,5.174677,-218.856,0,-0.0007699999999999999
213.827162,3.5964,0.055011,2.2e-05,16491.883,6.595434,1.349721,5.227644,72.194,0,0.0002539999999999973
214.121582,3.680879,0.054454,1.6e-05,16324.899,4.796679,1.352957,5.240179,-86.121,0,-0.0003029999999999977
214.098363,3.682376,0.053943,1.3e-05,16171.705,3.897302,1.358222,5.260571,-231.362,0,-0.0008140000000000022
214.035395,3.680043,0.05463,2.4e-05,16377.662,7.195019,1.368137,5.298975,-36.097,0,-0.0001270000000000021
214.03208,3.696219,0.05535,1.6e-05,16593.513,4.796679,1.384647,5.362918,168.548,0,0.0005930000000000032
215.666492,2.80912,0.05521,1.6e-05,16551.542,4.796679,1.412541,5.470954,128.756,0,0.000453000000000002
214.068601,3.778794,0.055028,1.3e-05,16496.979,3.897302,1.458368,5.648448,77.026,0,0.0002710000000000004
213.4402,1.180343,0.05441,1.1e-05,16311.708,3.297717,1.465556,5.676288,-98.627,0,-0.0003470000000000001
214.04042,3.805849,0.053909,4.1e-05,16161.512,12.291491,1.490227,5.771842,-241.026,0,-0.0008480000000000015
215.745234,2.829418,0.055385,1.3e-05,16604.005,3.897302,1.49353,5.784634,178.496,0,0.0006279999999999966
215.83157,2.393911,0.055401,1.2e-05,16608.802,3.597509,1.499626,5.808247,183.043,0,0.0006439999999999987
215.319348,1.207443,0.054809,9e-06,16431.325,2.698132,1.50552,5.831074,14.78,0,5.1999999999996493e-05
214.245903,3.855496,0.055102,1.5e-05,16519.164,4.496887,1.513635,5.862505,98.059,0,0.0003449999999999981
215.4471,3.392954,0.054475,2.2e-05,16331.194,6.595434,1.530417,5.927504,-80.153,0,-0.00028199999999999753
213.706603,3.756817,0.054071,1.7e-05,16210.078,5.096472,1.544382,5.981593,-194.981,0,-0.0006859999999999991
215.65318,3.166725,0.055212,8e-06,16552.141,2.39834,1.555733,6.025556,129.324,0,0.0004549999999999971
214.391375,3.908153,0.055281,2.1e-05,16572.827,6.295642,1.565016,6.061513,148.936,0,0.0005239999999999967
215.94124,2.411054,0.054978,9e-06,16481.99,2.698132,1.609768,6.234842,62.815,0,0.00022099999999999898
215.46513,3.522578,0.055235,8e-06,16559.036,2.39834,1.63442,6.330324,135.861,0,0.00047799999999999926
213.897821,3.92577,0.055627,1.1e-05,16676.555,3.297717,1.639781,6.351086,247.279,0,0.0008700000000000027
215.50454,1.197237,0.054955,7e-06,16475.095,2.098547,1.63994,6.351703,56.277,0,0.0001979999999999968
213.896163,3.942664,0.055402,3.3e-05,16609.102,9.893151,1.656515,6.415898,183.328,0,0.0006449999999999997
215.497242,1.159826,0.054643,1.4e-05,16381.559,4.197094,1.661201,6.434048,-32.402,0,-0.00011400000000000299
214.145977,4.009806,0.055412,1.2e-05,16612.1,3.597509,1.675811,6.490633,186.17,0,0.0006550000000000028
215.533078,1.169929,0.054925,1.7e-05,16466.101,5.096472,1.67942,6.504611,47.75,0,0.00016800000000000148
214.21913,4.026784,0.055393,2.3e-05,16606.404,6.895227,1.686247,6.531053,180.77,0,0.0006359999999999977
215.439881,1.06489,0.054698,1.1e-05,16398.048,3.297717,1.69212,6.553801,-16.77,0,-5.9000000000003494e-05
212.87333,3.244315,0.054581,7e-06,16362.972,2.098547,1.71254,6.632892,-50.024,0,-0.00017600000000000254
215.60461,1.197631,0.054027,1e-05,16196.887,2.997925,1.712564,6.632984,-207.487,0,-0.0007300000000000015
215.072074,0.758584,0.05496,2.9e-05,16476.593,8.693981,1.749843,6.777369,57.698,0,0.0002030000000000018
215.272433,0.865155,0.054057,1.1e-05,16205.881,3.297717,1.752617,6.788113,-198.96,0,-0.0006999999999999992
216.038512,1.898816,0.05389,1.1e-05,16155.816,3.297717,1.762787,6.827505,-246.426,0,-0.0008669999999999997
214.04933,4.089832,0.054389,1.2e-05,16305.412,3.597509,1.768175,6.848374,-104.596,0,-0.00036800000000000027
216.022945,1.799381,0.055555,1.2e-05,16654.97,3.597509,1.775692,6.877485,226.815,0,0.0007980000000000001
216.080716,2.708673,0.054837,1.1e-05,16439.719,3.297717,1.785325,6.914795,22.738,0,7.999999999999674e-05
216.068786,2.790488,0.055277,1.1e-05,16571.628,3.297717,1.792255,6.941639,147.799,0,0.0005199999999999996
216.122139,1.975189,0.054264,1.4e-05,16267.938,4.197094,1.826805,7.075453,-140.125,0,-0.0004930000000000004
212.771454,1.358453,0.054894,9e-06,16456.807,2.698132,1.844331,7.143335,38.939,0,0.00013699999999999823
216.142186,2.773929,0.054477,1.4e-05,16331.794,4.197094,1.859479,7.202003,-79.584,0,-0.00028000000000000247
216.151099,2.745142,0.054134,1e-05,16228.965,2.997925,1.861734,7.21074,-177.075,0,-0.0006229999999999986
214.536681,0.486818,0.053953,1.4e-05,16174.702,4.197094,1.86874,7.237874,-228.52,0,-0.0008039999999999992
213.96395,4.193745,0.053928,9e-06,16167.208,2.698132,1.885576,7.30308,-235.626,0,-0.0008290000000000033
213.105903,0.907482,0.053923,1.3e-05,16165.709,3.897302,1.887853,7.311899,-237.047,0,-0.0008340000000000014
214.475705,0.461427,0.054555,1.9e-05,16355.178,5.696057,1.888357,7.313853,-57.414,0,-0.0002020000000000008
216.02182,3.190745,0.055447,5e-06,16622.592,1.498962,1.889145,7.316906,196.118,0,0.0006900000000000031
216.199682,2.783852,0.054093,1.6e-05,16216.673,4.796679,1.917668,7.427378,-188.728,0,-0.0006639999999999979
212.670979,1.339251,0.054637,9e-06,16379.761,2.698132,1.939802,7.513107,-34.107,0,-0.00012000000000000205
215.09757,4.154194,0.054563,1.2e-05,16357.576,3.597509,1.965109,7.611125,-55.14,0,-0.00019399999999999973
216.227995,2.865542,0.055098,1.5e-05,16517.965,4.496887,1.965287,7.611811,96.922,0,0.000341000000000001
216.25358,2.76658,0.055577,1.7e-05,16661.565,5.096472,1.966344,7.615907,233.068,0,0.0008200000000000013
213.66941,0.396201,0.054351,4e-06,16294.02,1.19917,2.057342,7.968352,-115.397,0,-0.0004060000000000036
215.501852,0.649925,0.054399,1.3e-05,16308.41,3.897302,2.0587,7.973615,-101.754,0,-0.0003579999999999972
215.751157,0.793155,0.05389,0.000333,16155.816,99.830889,2.101907,8.140961,-246.426,0,-0.0008669999999999997
215.754072,0.794372,0.054077,1.2e-05,16211.877,3.597509,2.102977,8.145103,-193.276,0,-0.00068
216.09266,3.51586,0.05482,1.7e-05,16434.623,5.096472,2.114015,8.187856,17.906,0,6.300000000000056e-05
215.783521,0.769256,0.0546,9e-06,16368.668,2.698132,2.14138,8.293844,-44.624,0,-0.00015699999999999742
213.868034,0.227366,0.053917,1.3e-05,16163.91,3.897302,2.166974,8.392972,-238.752,0,-0.0008400000000000005
214.396205,0.159113,0.054325,1.5e-05,16286.225,4.496887,2.186123,8.467139,-122.787,0,-0.0004320000000000018
215.60809,4.12746,0.054091,2e-05,16216.074,5.995849,2.19241,8.491489,-189.296,0,-0.0006659999999999999
215.70106,4.059979,0.05402,6e-06,16194.789,1.798755,2.194573,8.499868,-209.477,0,-0.0007370000000000015
215.63632,4.175507,0.05491,1.5e-05,16461.604,4.496887,2.247904,8.706426,43.487,0,0.00015300000000000036
215.959004,3.900066,0.054778,5e-06,16422.031,1.498962,2.250506,8.716501,5.969,0,2.1000000000000185e-05
213.024331,0.485363,0.054776,1.7e-05,16421.432,5.096472,2.271878,8.79928,5.4,0,1.8999999999998185e-05
216.090513,0.888576,0.05524,6e-06,16560.535,1.798755,2.282102,8.838878,137.283,0,0.0004829999999999973
213.88716,4.587873,0.054131,1e-05,16228.066,2.997925,2.2871,8.858236,-177.927,0,-0.0006260000000000016
212.959576,0.513317,0.054596,1.4e-05,16367.469,4.197094,2.287243,8.858789,-45.761,0,-0.00016100000000000142
212.977522,0.497846,0.054398,2e-05,16308.11,5.995849,2.289003,8.865607,-102.038,0,-0.0003589999999999982
214.10283,4.633841,0.054835,7e-06,16439.119,2.098547,2.300934,8.911817,22.17,0,7.800000000000168e-05
212.981944,0.466556,0.054766,2.3e-05,16418.434,6.895227,2.311737,8.953659,2.558,0,9.000000000002062e-06
214.836031,4.606493,0.054781,2.2e-05,16422.931,6.595434,2.317698,8.976746,6.821,0,2.4000000000003185e-05
213.814173,4.604446,0.055255,1.8e-05,16565.032,5.396264,2.318521,8.979934,141.546,0,0.0004979999999999984
216.497438,3.204405,0.055275,7e-06,16571.028,2.098547,2.328779,9.019663,147.231,0,0.0005179999999999976
214.21705,4.696294,0.054931,1.5e-05,16467.9,4.496887,2.354793,9.120419,49.456,0,0.00017400000000000054
214.72697,4.670354,0.055139,1.4e-05,16530.256,4.197094,2.359396,9.138246,108.575,0,0.0003820000000000004
215.52086,4.402161,0.054313,1.9e-05,16282.628,5.696057,2.376355,9.203931,-126.198,0,-0.00044399999999999995
213.80404,4.668395,0.054162,1.8e-05,16237.359,5.396264,2.383122,9.230141,-169.116,0,-0.0005949999999999983
216.564488,1.491483,0.055013,1e-05,16492.482,2.997925,2.388537,9.251117,72.763,0,0.0002559999999999993
215.96382,4.114282,0.054181,1.2e-05,16243.055,3.597509,2.406841,9.32201,-163.716,0,-0.0005760000000000001
216.35213,3.660484,0.055351,6e-06,16593.812,1.798755,2.410076,9.334539,168.832,0,0.0005939999999999973
213.626747,4.668611,0.054856,1.4e-05,16445.415,4.197094,2.428657,9.406505,28.139,0,9.900000000000186e-05
213.260604,0.146426,0.054612,1.1e-05,16372.266,3.297717,2.44448,9.46779,-41.213,0,-0.0001449999999999993
215.856126,4.258529,0.05545,1.4e-05,16623.492,4.197094,2.446408,9.475258,196.971,0,0.0006929999999999992
216.536835,3.429643,0.05491,0.00012,16461.604,35.975095,2.456285,9.51351,43.487,0,0.00015300000000000036
215.673205,4.4058,0.054424,1.4e-05,16315.905,4.197094,2.459065,9.524277,-94.648,0,-0.00033299999999999996
216.408492,1.01259,0.054724,1.1e-05,16405.842,3.297717,2.465773,9.550259,-9.38,0,-3.299999999999831e-05
213.9225,4.778834,0.05529,1e-05,16575.525,2.997925,2.468615,9.561269,151.494,0,0.0005329999999999988
216.70389,1.605189,0.055357,6e-06,16595.611,1.798755,2.482947,9.616777,170.537,0,0.0006000000000000033
216.754607,1.669906,0.054383,7e-06,16303.613,2.098547,2.513236,9.734091,-106.302,0,-0.00037399999999999933
216.607326,1.267693,0.055319,2.1e-05,16584.219,6.295642,2.515892,9.744377,159.737,0,0.000562
213.638206,4.767814,0.054158,1.2e-05,16236.16,3.597509,2.520592,9.762581,-170.253,0,-0.0005990000000000023
215.830665,4.374534,0.054381,2.1e-05,16303.014,6.295642,2.523021,9.77199,-106.87,0,-0.00037600000000000133
215.024552,-0.088237,0.054936,1.2e-05,16469.398,3.597509,2.529158,9.79576,50.877,0,0.0001789999999999986
213.117457,0.096535,0.054175,2e-05,16241.256,5.995849,2.554176,9.892657,-165.421,0,-0.0005819999999999992
215.681525,0.132406,0.054322,7e-06,16285.326,2.098547,2.590729,10.034232,-123.64,0,-0.0004349999999999979
215.65354,4.583947,0.054965,8e-06,16478.092,2.39834,2.600182,10.070844,59.12,0,0.00020799999999999985
213.57979,4.912551,0.054431,8e-06,16318.003,2.39834,2.675846,10.363901,-92.659,0,-0.0003259999999999999
216.928566,1.646022,0.055336,1.1e-05,16589.315,3.297717,2.687188,10.407829,164.569,0,0.0005790000000000031
216.558904,3.899333,0.055056,3.9e-05,16505.374,11.691906,2.71499,10.515512,84.984,0,0.00029900000000000065
215.807903,0.044425,0.055062,2.3e-05,16507.172,6.895227,2.732293,10.582525,86.69,0,0.0003049999999999997
215.674475,4.72475,0.054981,1.1e-05,16482.889,3.297717,2.732613,10.583767,63.667,0,0.00022400000000000198
215.521987,-0.122082,0.054429,1.6e-05,16317.404,4.796679,2.738212,10.605452,-93.227,0,-0.0003280000000000019
216.172001,0.310089,0.054542,0.000297,16351.28,89.03836,2.742202,10.620906,-61.109,0,-0.0002149999999999999
216.96229,1.559709,0.054825,9e-06,16436.122,2.698132,2.743169,10.62465,19.328,0,6.799999999999862e-05
212.96506,-0.050906,0.054957,2.6e-05,16475.694,7.794604,2.756987,10.67817,56.846,0,0.0001999999999999988
216.923229,3.372118,0.054873,2.2e-05,16450.512,6.595434,2.786076,10.790836,32.971,0,0.00011599999999999805
